"(Verknüpfung)
Identifier | Nr.",RISM ID no.,WVZ-Nr.,Titel,Bestandeshaltende Institution,"Signatur, neu","Signatur, vormalig",Kommentar zur Signatur,Stadium der Werkgenese,Autographe Funktion,"intere Sicherung vormaliger ""Typ""-Einträge",Übergeordnete Quelle,Untergeordnete Quelle,Übergeordnete Quelle zweiter Ordnung/ Untergeordnete Quelle zweiter Ordnung,RISM-Nr. der übergeordneten Quelle,Titelei Umschlag oder Titelblatt,Kommentarfeld zu: Titel (der Quelle) Titelblatt | Umschlag,Kopftitel,Kommentarfeld zu: Titel (der Quelle) Notentext,Besetzung,Tempoangabe,Sprachcode (falls mehrere mit | abtrennen),Text-Incipit,Widmung diplomatisch,Kommentar zur Widmung,Datierung diplomatisch auf Quelle,Datierung auf Quelle maschinenlesbar,Datierung ermittelt maschinenlesbar,Datierung Kommentar,Datierung Ort nach GND,Datierung Ort ermittelt,GND Ort,Schrift,Umfang,Papier,Bezug zu Druck: Verlags-GND,Bezug zu Druck: Plattennr.,Provenienz,Provenienz (diplomatisch),weitere Provenienzangabe,Beschreibung physischer Merkmale,Inhalt,"Notizen zur Quelle (vormals ""Beschreibung"", bleibt intern)",Kommentar,Kommentar intern,Digitalisat,Bearbeiter,,,,
,,,(Klavierkonzert Es-Dur),D-WRgs,GSA 60/Z 31,,,"Fragment, Autograph",,,,,,,,,,,"Kl, Orch",Allegro vivace,,,,,,,,,,,,"Liszt (schwarze Tinte, Bleistift) ","1 Blatt, 2 Seiten Notentext","Querformat, ??? x ??? mm, 20 Notenzeilen, handrastriert",,,,,,,,,Das Blatt gehört zusammen mit Nr. 18 (Numerierung nach dem im GSA befindlichen Inhaltsverzeichnis zu GSA 60/Z 31).,,,,,,,
,,R 126/1,"Totentanz, 1. Fassung",D-WRgs,GSA 60/Z 31,,,"Fragment, Autograph",,,,,,,,,,,Kl,,,,,,,,,,,,,Liszt (schwarze Tinte),"2 Blatt zu 1 Bogen, 4 Seiten Notentext","Hochformat, ??? x ??? mm, 12 Notenzeilen, handrastriert",,,,,,,,"Das Manusktript ist von Liszt paginiert (S. 12-15) und gehört vermutlich zu der keine Kl-Stimme enthaltenden Orchesterpartitur GSA 60/H 6, S. 13-15. Es handelt sich um die Kl-Stimme zum ""De profundis""-Abschnitt aus der ersten Totentanz-Fassung.",,,,BV,,,,
,,,Serenade,D-WRgs,GSA 60/Z 31,,,"Fragment, Autograph",,,,,,,,,,,,,,,,,,,,,,,,Liszt (Bleistift),"1 Blatt, 2 Seiten Notentext","Querformat, ??? x ??? mm, 8 Notenzeilen, handrastriert",,,,,,,,"Das mit Bleistift geschriebene Manuskript ist sauber geschrieben und zeigt eine ausgearbeitete Komposition. Allerdings ist es anscheinend unvollständig, die Notation auf der verso-Seite hört mit einem Halte- oder Bindebogen auf, was die Existenz einer weiteren Blattes mit einer Fortsetzung der Komposition nahelegt. ",,,,BV,,,,
,,,,D-WRgs,GSA 60/Z 31,,,Autograph,,,,,,,,,,,Kl,,,,,,,,,,,,,Liszt (schwarze Tinte),"1 Blatt, 1 Seite Notentext, 1 Leerseite","Hochformat, ??? x ??? mm, 32 Notenzeilen, gedruckt",,,,,,,,"Die Skizze ist mit ""très a beaucoup più"" überschrieben. ",,,,BV,,,,
,,,(Pater noster),D-WRgs,GSA 60/Z 31,,,"Fragment, Autograph",,,,,,,,,,,Kl,,,,,,,,,,,,,Liszt (schwarze Tinte),"1 Blatt, 1 Seite Notentext, 1 Leerseite","Hochformat, ??? x ??? mm, 25 Notenzeilen, gedruckt",,,,,,"Das Blatt wurde am unteren Rand abgeschnitten, dabei wurde eine Notenzeile durchtrennt.",,"Das Fragment weist starke Übereinstimmungen mit dem ""Pater noster"" auf. Einieg Takte sind gestrichen (schwarze Tinte). ",,,,BV,,,,
,,R 534,(Via crucis. Station I Jésus est condamné à mort),D-WRgs,GSA 60/Z 31,,,Skizze,,,,,,,Anfangs (Jésus condamné),,,,Org,,,,,,,,,,,,,Liszt (schwarze Tinte),"1 Blatt, 1 Seite Notentext, 1 Leerseite","Querformat, ??? x ??? mm, 4 Notenzeilen, handrastriert",,,,,,Das Blatt ist an der Oberkante abgeschnitten und senkrecht in der Mitte gefaltet.,,"Die kleine Skizze stimmt erheblich, aber nicht vollkommen mit der Org-Fassung von ""Jésus est condamné à mort"" überein.",,,,BV,,,,
,,,,D-WRgs,GSA 60/Z 31,,,"Fragment, Autograph",,,,,,,,,,,,,,,,,,,,,,,,"Liszt (schwarze Tinte, blauer Stift)","1 Blatt, 1 Seite Notentext, 1 Leerseite","Querformat, ??? x ??? mm, 11 Notenzeilen, handrastriert",,,,,,Das Blatt ist am unteren Rand abgeschnitten.,,Die Skizze (schwarze Tinte) ist vollständig gestrichen (blauer Stift).,,,,BV,,,,
,,,,D-WRgs,GSA 60/Z 31,,,"Fragment, Autograph",,,,,,,,,,,Kl,,,,,,,,,,,,,Liszt (schwarze Tinte),"1 Blatt, 2 Seiten Notentext","Hochformat, ??? x ??? mm, 10 Notenzeilen, handrastriert",,,,,,,,,,,,,,,,
,,,,D-WRgs,GSA 60/Z 31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,D-WRgs,GSA 60/Z 31,,,,,,,,,,,,,,"Orch (Fl, Alt Fl, Ob, Klar, Hr, Trp, Pos, Bck, Pk, B)",,,,,,,,,,,,,Liszt (schwarze Tinte),"1 Blatt, 2 Seiten Notentext","Querformat, ??? x ??? mm, 16 Notenzeilen, handrastriert",,,,,,,,Das Fragment besteht aus den letzten beiden Seiten einer Komposition für Bläserensemble.,,,,BV,,,,
,,,Marche héroique pour Grand Orchestre,D-WRgs,GSA 60/Z 31,,,Umschlag,,,,,,,Marche héroique pour Grand Orchestre / par / FLiszt / Partitur,,,,,,,,,,,,,,,,,"Liszt (Bleistift, roter Stift)","2 Blatt zu 1 Bogen, 1 Titelseite, 3 Leerseiten","Hochformat, ??? x ??? mm, 9 Notenzeilen, handrastriert",,,,,,,,Der Bogen diente als Umschlag für die Partitur.,,,,BV,,,,
,,,,D-WRgs,GSA 60/Z 31,,,Skizze,,,,,,,,,,,,,,,,,,,,,,,,Liszt (roter Stift),"2 Blatt zu 1 Bogen, 1 Seite Notentext, 3 Leerseiten","Hochformat, ??? x ??? mm, 20 Notenzeilen, handrastriert",,,,,,,,Das Manuskript enthält eine Skizze auf lediglich zwei Akkoladen.,,,,BV,,,,
,,,Etudes d'exécution transcendente d'après Paganini ,D-WRgs,GSA 60/Z 31,,,Korrekturblatt,,,,,,,,,,,Kl,,,,,,,,,,,,,Liszt (schwarze Tinte),"1 Blatt, 2 Seiten Notentext","Querformat, ??? x ??? mm, 5 bzw. 6 Notenzeilen, handrastriert",,,,,,Das Blatt wurde am oberen Rand abgeschnitten.,,"Das Blatt enthält vier Korrekturen, numeriert mit 7, 8, 9 auf der recto-Seite und 11 auf der verso-Seite. ",,,,BV,,,,
,,,,D-WRgs,GSA 60/Z 31,,,Skizze,,,,,,,,,,,Kl,Andante,,,,,,,,,,,,Liszt (schwarze Tinte),"2 Blatt zu 1 Bogen, 1 Seite Notentext, 3 Leerseiten","Querformat, ??? x ??? mm, 16 Notenzeilen, handrastriert",,,,,,,,Der dreitaktigen Skizze sind vier Be vorgezeichnet. Die Besetzung ist vermutlich für Kl und ein Meldoieinstrument gedacht.,,,,BV,,,,
,,,(Klavierkonzert in Es-Dur),D-WRgs,GSA 60/Z 31,,,Skizze,,,,,,,,,,,"Kl, Orch",,,,,,,,,,,,,Liszt (schwarze Tinte),"1 Blatt, 2 Seiten Notentext","Querformat, ??? x ??? mm, 20 Notenzeilen, handrastriert",,,,,,,,,Das Blatt gehört zusammen mit Nr. 1 (Numerierung nach dem im GSA befindlichen Inhaltsverzeichnis zu GSA 60/Z 31).,,,,,,,
,,R 549 | S 79 | M14,Titan,D-WRgs,GSA 60/S 6,,,Arbeitsmanuskript,,Arbeitsmanuskript | Entwürfe,x,,,"Titan (unvollendet) (1842-47)
 | fehlt S. 4-7 | Berlin 42 | Bonn 45 | ? 47 | [unleserlich mit braunem Stift]",Raabe (Bleistift),,,"Bar, MCh (TB), Orch [laut MGG online]",,Deutsch,,,,,,,,,,,"Liszt (schwarze Tinte, brauner und blauer Stift","10 Blatt zu ?? Bogen, 16 Seiten Notentext, 1 Titelblatt, 3 Leerseiten, paginiert","1) Querformat, ??? x ??? mm, 20 Notenzeilen, handrastriert
2) Querformat, ??? x ??? mm, 18 Notenzeilen, handrastriert",,,Liszt-Museum Weimar,Liszt-Museum Weimar,,,,"Signatur beinhaltet zwei relativ weit ausgeführte Entwürfe zu ""Titan"". Die erste enthält neben dem Bariton und dem Chorsatz einen Klavierauszug bzw. eine Orchesterskizze, deren Instrumentation jedoch nicht ausgeführt ist. Der zweite Entwurf erscheint in seiner Gestalt reduzierter und weist zudem einige Überklebungen auf. Beide Manuskripte weisen Spuren eines intensiven Überarbeitungsprozesses auf.","unveröffentlichte Komposition, wäre spannend, beide Entwürfe miteinander zu vergleichen, kann derzeit aber nicht geleistet werden",bitte Blatt und Bogen prüfen,https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:209216,DTie,,,,,
,,R 549 | S 79 | M14,Titan,D-WRgs,GSA 60/S 6,,,Arbeitsmanuskript,,Arbeitsmanuskript | Entwurf,,x,,,,Titan ,"Liszt (schwarze Tinte), Raabe (Bleistift)

""unvollständig"" von Raabe mit Bleistift hinzugesetzt, zudem links mit rotem Stift die Zahl ""75""","Bar, MCh (TB), Kl",,Deutsch,Auf des Athos blauen Felsenspitzen möcht ich sitzen,,,Berlin | 42 - |Bonn 45 - | Czarny Ostrow | 47,1842-xxx-xxx | 1845-xx-xx | 1847-xx-xx,,,Berlin | Bonn | Czarny Ostrow [Ukraine],,,"Liszt (schwarze Tinte, brauner und blauer Stift? unklar ob von Liszt, da es nur ein Strich auf der ersten Seite des Notentextes ist)","6 Blatt zu ?? Bogen, 8 Seiten Notentext, 1 Titelblatt, 3 Leerseiten, paginiert (S. 1-12, S. 4-7 fehlen [S. 1-12])","Querformat, ??? x ??? mm, 20 Notenzeilen, handrastriert",,,Liszt-Museum Weimar,Liszt-Museum Weimar,,,,"Entwurf, Canto und Klavier, Noten und Text mit schwarzer Tinte, zudem viele Markierungen, Striche und Nummerierungen (Buchstaben und Zahlen) mit braunem Stift (A-P, S. 1 [3] sowie 1-52, S. 1-3 [3-5]. Überklebung der ersten fünf Takte im untersten System auf [S. 4]. Zur Wiederholung notiert Liszt am Ende von S. 3 [5]: ""Einmal | Segne | Largo"". [S. 6] ist eine Leerseite und der folgende Bogen, S. 4-7, fehlt bedauerlicherweise in der Quelle. Auf S. 8 [7] beginnt Liszt nun mit der Auflösung der Wiederholungen (A-H sowie 1-52). Hier setzt auch der Männerchor ein (""Chor | Tenor | Bassi] und Liszt verzichtet mit Hilfe der Wiederholung auf die Ausnotierung der Klavierbegleitung. Diese setzt erst im zweiten System auf S. 10 [9] wieder ein und ist bis zum Ende nahezu ohne Korrektur niedergeschrieben. Eine mögliche Ossia-Fassung verwarf Liszt durch Streichung mit braunem Stift unten auf A. 11 [10] und auch der Schluss wurde nochmals modifiziert durch Änderung des 16tel-""Tremolos"" sowie anschließender neuntaktiger Erweiterung, die in der untersten Zeile notiert ist. Erstaunlich auch die Trippel-Datierung am Ende nach dem Doppelstrich.",,,https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:209216,DTie,,,,,
,,R 549 | S 79 | M14,Titan,D-WRgs,GSA 60/S 6,,,Arbeitsmanuskript,,Arbeitsmanuskript | Entwurf,,x,,,,Titan ,,"Bar, Kl",,Deutsch,Auf des Athos blauen Felsenspitzen möcht ich sitzen,,,,,,,,,,Liszt (schwarze Tinte),"4 Blatt zu ?? Bogen, 8 Seiten Notentext","Querformat, ??? x ??? mm, 18 Notenzeilen, handrastriert",,,Liszt-Museum Weimar,Liszt-Museum Weimar,,erstes Blatt sehr stark abgenutzt und am Rand restauriert,,"Entwurf mit schwarzer Tinte, zunächst Bariton mit Klavierbegleitung, ab [S. 17], zweites System, zweiter Takt nur noch Singstimme mit Text notiert. Auf der Schlussseite [S. 20] tritt ab dem vorletzten System die akkordische Begleitung wieder hinzu. Das Manuskript enthält zwei Überklebungen: [S. 14], zweites System mit Wiederholungsmarkierung A-D; [S. 15], erstes System, Auflösung der Wiederholung, also nur die Buchstaben A bis D; ",,sind das alles Einzelblätter?,https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:209216,DTie,,,,,
,,R 585 | S 300 | N40,Le juif errant,D-WRgs,GSA 60/S 7,,,Arbeitsmanuskript,,Arbeitsmanuskript | Entwurf,,,,,,,,"Bar, Kl",,Französisch ,"Sur les débri[s] de mille états, l'affreu[x] tourbillon me promène",,,,,[1847-xx-xx],Liszt war nur auf seiner dritten und letzten Konzertreise in Czarny Ostrow,Czarny Ostrow,"[am Schluss nur ganz schwar mit braunem Stift geschrieben, kaum lesbar, aber durch GSA 60/S 6 ermittelt]",,"Liszt (schwarze Tinte, brauner Stift), [Raabe 116319011] (Bleistift)","7 Blatt zu ?? Bogen, 14 Seiten Notentext","Querformat, ??? x ??? mm, 10-12 Notenzeilen, handrastriert",,,Liszt-Museum Weimar,Liszt-Museum Weimar,,das letzte Blatt weist 12 Notenzeilen auf,,"Der Entwurf ist teilweise sehr fragmentarisch gehalten, da Liszt oft nur die Vokalstimme mit dem Text n schwarzer Tinte notiert. Zudem ist das Manuskript nicht komplett, was auf die Taktzählung für eine Wiederholung mit braunem Stift, die auf [S. 1] bei Ziffer ""7"" beginnt, zurückzuführen ist. Raabe hat nachträglich in seiner nur schwer leserlichen Schrift wohl die deutsche Übersetzung nachgetragen. Die Taktzählungen sind auch nicht durchlaufend, so zählte Liszt auf [S. 1] von 7 bis 12 sowie dann auf [S. 2-3] von 32 bis 57 etc. Die nicht gezählten Takte sind jedoch korrekt. Erst bei ""Et pour survivre au monde ancien"" setzt für fünf Takte eine flüchtig skizzierte Klavierbegleitung ein (letzter Takt, zweites System). Mit braunem Stift notiert Liszt unter dem letzten System (zwischen den Nummern 46 und 48) den Hinweis für sich, ""2 mesures de plus"". Nach 57etc bricht die Vokalstimme bei einem Dal-Segno-Zeichen ab und Liszt setzt am unteren Ende von [S. 3] mit dem ""3me Couplet"", mit Klavier und Singstimme fort. [S. 4] ist vollständig und etwas eigenwillig (große Einkreisung mit braunem Stift) gestrichen. Auf [S. 5] setzt Liszt mit dem Notat der Singstimme, die im unteren System mit braunem Stift korrigiert wird, weiter fort (zudem Taktzahlen 7.-12 von [S. 1]). [S. 6] wieder mit ausgeführter Klavierbegleitung, teilweise Korrektur der Gesangsstimme mit braunem Stift sowie Abkürzungen 29 bis 32. Überklebung (??? x ??? mm) des ersten Systems auf [S. 7] sowie weitere Nummerierung 29 bis 60 etc (bis auf [S. 9]). Der Klaviersatz ist ab hier nun vollständig notiert, nicht nur die Singstimme. Auf [S. 10] unten mit braunem Stift der Hinweis, ""tourne [?] le teme"", was auf die veränderte Oktavlage des Tones ""c"" hindeuten könnte. Den Hinweis wiederholt Liszt in der Vokalstimme im oberen System auf der folgenden Seite und korrigiert diese in Takt 3 mit Auftakt. Ansonsten ist insbesondere [S. 11] sehr sauber, quasi wie eine Reinschrift geschrieben. Am unteren Ende schreibt er mit schwarzer Tinte, ""dernier Anoud [??] ? | (comme [?] Choral)"" [schwer lesbar]. [S. 12] Beginnt mit einem Verweiszeichen und einem Hinweis mit braunem Stift, ""(+) Vide Coda après le 3me Couplet"" und es folgt augenscheinlich der Schluss des Liedes. Darunter, im untersten System, mit 2d Couplet setzt Liszt seinen Entwurf fort. Hier nummeriert er die Takte mit 1-6 (Nr. 6 ist mit ""Pause"" bezeichnet), was möglicherweise den fehlenden Anschluss/Beginn von [S. 1] darstellen könnte. [S. 13] trägt einen Provenienzstempel und weist als Einzelblatt (?) auch als einziges 12 Notenzeilen auf. Hier Textkorrektur und Strich des untersten Systems mit braunem Stift sowie ""V.S.""-Hinweis. Die letzte Seite des Manuskripts schließlich [S. 14] beinhaltet den Schluss des Liedes mit einer authentischen Kadenz nach C-Dur. Darunter Lokalisierung des Entwurfes schwach lesbar mit braunem Stift, ""Czarny Ostrow"". ","Text von Pierre Jean de Béranger (1780-1857), darüber mit Bleistift eine dt. Übersetzung schwach in Raabes schwer leserlicher Handschrift mit Bleistift geschrieben ","Möglciherweise fehlerhafte Reihung im Digitalisat? ist [S. 12] vor [S. 1], s. die Taktzählung mit braunem Stift.",https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:209219,DTie,,,,,
,,,Harmonies poétiques et religieuses,D-WRgs,GSA 60/N5,,,Autograph,,,,x,,,,,Harmonies poétiques | et religieuses - | (? Préludes et | Harmonies poétiques | religieuses ?),Die Titelvariante in Klammern ist klein und schlecht leserlich geschrieben.,[Kl],,,,,,Nancy | 16 Nov - 45. | (en ??? | 1 Juin 43[?] - | N .... G ...),1845-11-15,,,Nancy,,4041201-5,"Liszt (schwarze Tinte, Bleistift)","S. 1, Z. 1 – S. 3, Z. 18",,,,,,,,,"[3/4-Takt], 3 B-Vorzeichen | Sauber und flüssig geschriebener Notentext mit wenigen Rasuren (S. 1, 3. System, 2. Takt) sowie Eintragungen und Streichungen mit Bleistift (z.B. S. 3). ","Mueller 1986, S. 264",,,UR,,,,
,,,"Text, franz. und dt.",D-WRgs,GSA 60/N5,,,Text,,,,x,,,,,,,,,,,,,,,,,,,,"zS? (schwarze Tinte), Liszt (schwarze Tinte)","S. 4, Z.1-5; S. 4, Z. 6-16",,,,,,,,,"oben, Z. 1-5: schräg über 5 Notenzeilen geschriebener franz. Text von zS oder Liszt? mit dickerer schwarzer Tinte | Mitte bis unten, Z. 6-16: ""(Bei der Musik des Prinzen L. F. | Körner), 3. Strophe aus [Theodor Körners 1068192097] Gedicht ""Bei der Musik des Prinzen Louis Ferdinand"", dt. Text von Liszt mit dünnerer schwarzer Tinte. ",,,,UR,,,,
,,,,D-WRgs,GSA 60/N5,,,Autograph,,,,x,,,,,([unleserliches Wort] ?),,[Kl],,,,,,20 Nov - (Metz - hotel de l'Europe) | Raffaele du Neville ...,xxxx-11-20,,,Metz,,4039029-9,"Liszt (schwarze Tinte, Bleistift)","S. 5, Z. 1 – S. 8, Z. 12",,,,,,,,,"3/4-Takt, 3 B-Vorzeichen | Sauber und flüssig geschriebener Notentext mit wenigen Rasuren (S. 5, 2. System) und Streichungen mit Bleistift (S. 5) und Tinte (S. 7). Nach dem Schlussstrich S. 8 schreibt Liszt ""Da Capo"". ",,,,UR,,,,
,,,,D-WRgs,GSA 60/N5,,,Skizze,,,,x,,,,,,,[Kl],,,,,,Chalon 10 Dec -,xxxx-12-10,,,Chalon,Châlons-sur-Marne,1027907-6,Liszt (schwarze Tinte),"S. 9, Z. 1-2; S. 9, Z. 6-8","Querformat, 158 x 325 mm, 12 Notenzeilen, handrastriert, unten abgeschnitten",,,,,,,,"[3/4-Takt], keine Vorzeichen | 2 Skizzen?; Z. 1-2: 4 Takte; Z. 6-8: 7 Takte; die Rückseite ist leer",Mueller zählt das noch zu S. 5-8,,,UR,,,,
,,,,D-WRgs,GSA 60/N5,,,Autograph,,,,x,,,,,,,[Kl],,,,,,4 Decembre | Rheims,xxxx-12-04,,,Rheims,Reims,4103640-2,"Liszt (schwarze Tinte, Rötel)","S. 10, Z. 1 – S. 13, Z. 14",,,,,,,,,"3/4-Takt, 4 Kreuz-Vorzeichen | Sauber und recht flüssig geschriebener Notentext mit einer umfangreichen Streichung mit Rötel (S. 10) und kleineren mit Tinte (S. 12). Liszt verwendet mehrfach Platzhalter mit Ziffern oder Buchstaben. ",,,,UR,,,,
,,,Ballade,D-WRgs,GSA 60/N5,,,Skizze,,,,x,,,,,"[Galop bohémien - ] 
Ballade (?)","""Galop bohémien"" unter der Überklebung; ""Ballade (?)"" von Liszt mit Bleistift (Z. 5-6)",[Kl],,,,,,,,,,,,,"Liszt (schwarze Tinte, Bleistift, Rötel)","S. 14, Z. 1 – S. 21, Z. 17","Überklebung S. 14a, Querformat, 95-99 x 300 mm, 7 Notenzeilen, handrastriert, unten abgeschnitten; Überklebung S. 18a, Querformat, 80-85 x 315-318 mm, 7 Notenzeilen, handrastriert,oben abgeschnitten; Überklebung S. 20a, Querformat, 70-73 x 314 mm, 5 Notenzeilen, handrastriert",,,,,,Die Überklebungen sind nur an den Ecken mit rotem Siegellack befestigt. Das Papier der Überklebungen gleicht dem des Skizzenbuchs.,,"3/4-Takt, 5 B-Vorzeichen | Unter der Überklebung S. 14 steht von Liszt geschrieben der Titel ""Galop bohémien -"". Auf Z. 5-6 am rechten Rand vermerkt Liszt mit Bleistift einen weiteren Titel ""Ballade (?)"". Der Notentext unter der Überklebung S. 14 ist mit schwarzer Tinte gestrichen sowie der weitere Notentext auf der Seite mit Bleistift. Auf Z. 7-9 vermerkt Liszt ""Disjecte | membra | poetae!"", ""attente"" (unterstrichen), ""(Dernier illusion!)"" (teils von Überklebung verdeckt und gestrichen) und ""ecrit pour Maria"". Während S. 15 sauber und flüssig geschrieben ist, ist S. 16 komplett an diversen Stellen mit Bleistift und Tinte gestrichen. Auf S. 178, Z. 1 befindet sich ein kleinerer Siegelwachsfleck sowie bei Z. 6-12 vier weitere, die teils mit Papierresten auf eine entfernte Überklebung deuten. Neben der Überklebung auf S. 18 oben streicht Liszt in den unteren Systemen mehrere Takte mit Tinte. ","Mueller 1986, S. 213-218",,,UR,,,,
,,R 538,2. Beethoven-Kantate,D-WRgs,GSA 60/B15,,,Skizze,,,,,,,,,Beethoven-Cantate / von Franz Liszt / Einleitung,,"Singst, Orch (2 Fl, 2 Ob, 2 Kl in A, 2 Fg, 4 Hr in C, Vl, Vla, Vlc, Kb)",,,,,,,,,,,,,"Liszt (schwarze Tinte, Bleistift)","4 Blatt zu 2 Bogen, 5 Seiten Notentext, 3 Leerseiten, nicht paginiert","Hochformat (??? x ??? mm), 20 Notenzeilen, handrastriert",,,,,,,,Auf dem dritten Blatt skizziert Liszt bereits instrumentiert den Beginn der Kantate (13 Takte) Der übrige Notentext (fünfte bis achte Seite) ist als Particell gehalten. Auf Seite [5] ist der Notentext abgesehen vom vorletzten Notensystem komplett gestrichen (Bleistift). Auf Seite [6] sind im schsten Notensystem die ersten vier Takte gestrichen. Auf Seite [7] sind im vierten Notensystem die ersten vier Takte und im untersten Notensystem ebenfalls vier Takte gestrichen. Auf Seite [8] sind im zweiten und dritten Notensystzem fünf bzw. vier Takte gestrichen (schwarze Tinte).,,,https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:190772,BV,,,,
,,,[Skizzenbuch],US-Wc,ML96 .L58,,,Skizzen,,,,,,,,,,,,,,,,,17 Aout 1830 | 17 Aout 1830 | 18 Aout 1830 | 6 Avril | 21 Mai,1830-08-17 | 1830-08-17 | 1830-08-18 | xxxx-04-06 | xxxx-05-21,,Die Datierungen befinden sich in den Skizzen auf verschiedenen Seiten: S. 1 | S. 3 | S. 5 | S. 13 | S. 17,,,,Liszt (schwarze Tinte),"80 Blatt gebunden. Einband, Vorsatz, 29 Seiten Notentext, 1 Seite Text, 131 Leerseiten","Hochformat 290 x 210 mm, 16 Notenzeilen, handrastriert, nachträglich paginiert",,,,,,Der Halbledereinband ist mit braun und blau marmoriertem Kleisterpapier versehen.,,"Die Skizzen umfassen jeweils nur wenige Notenzeilen. Hinweise auf mögliche Zusammenhänge finden sich lediglich sporadisch, so auf Seite 11 die Überschrrift ""Concerto"" oder auf Seite 53 der Titel ""Werther"". ",,"Der Einband ist nicht mitdigitalisiert, bensowenig die Leerseiten ab Seite 63.",https://hdl.loc.gov/loc.music/musliszt.100595,BV,,,,
,,R 426 | S 109 | G14,Eine Symphonie zu Dantes Divina Commedia. Purgatorio,US-Wc,ML96 .L58,,,Skizze (Particell),,,,,,,,,Purgatorio,,Kl,,,,,,Charfreitag 57,1857-04-10,,,,,,Liszt (schwarze Tinte),"1 Blatt, 1 Seite Notentext, 1 Leerseite","Querformat, 250 x 327 mm, 20 Notenzeilen, handrastriert",,,,,,,,"Die Skizze enthält vier Akkoladen, die Liszt nur geringfügig überartbeitet.",,,https://hdl.loc.gov/loc.music/musliszt.100214,BV,,,,
,,,[unbekannt],US-Wc,ML31 .R67a no. 12,,,Fragment,,,,,,,,,,,Kl,,,,,,,,,,,,,Liszt (schwarze Tinte),"1 Blattfragment, 2 Seiten Notentext, paginiert (S. 4-5) ","Hochformat, 187 x 154 mm (längste Kanten), 6 Notenzeilen",,,"Geschenk von Harry Rosenthal, 30 Dezember 1965","Geschenk von Harry Rosenthal, 30 Dezember 1965",,Das Fragment ist herausgerissen worden. Es ist die rechte obere Ecke eines grünlich eingefärbeten Blattes.,,,,,https://hdl.loc.gov/loc.music/musliszt.100218,,,,,
,,R 185 oder 186 oder 671,Stanislaus,US-Wc,ML31 .R67a no. 11,,,Skizzen,,,,,,,,,St Stanislausas,Liszt mit schwarzer Tinte und rotem Stift,,,,,,,,,,,,,,"Liszt (sepia Tinte, schwarze Tinte, roter Stift)","1 Blatt, 2 Seiten Notentext","Querformat, 244 x 329 mm, 12 Notenzeilen, handrastriert",,,"Geschenk von Harry Rosenthal, 30 Dezember 1965","Geschenk von Harry Rosenthal, 30 Dezember 1965",,,,,,,https://hdl.loc.gov/loc.music/musliszt.100219,,,,,
,,,Ungarischer Marsch zur Krönungsfeier in Ofen-Pest am 8. Juni 1867,US-Wc,ML31 .H43a no. 71,,,Skizzen,,,x,,,,,,,,,,,,,,,,,,,,,,"1 Blatt, 2 Seiten Notentext","Querformat, 260 x 328 mm, 12 Notenzeilen, handrastriert",,,,,,,,,,,https://hdl.loc.gov/loc.music/musliszt.100268,,,,,
,,R 55 | S 523 | A248,Ungarischer Marsch zur Krönungsfeier in Ofen-Pest am 8. Juni 1868,US-Wc,ML31 .H43a no. 71,,,Skizze,,,,x,,,,,,,Kl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,R 306 | S 609 | B32,Ungarischer Marsch zur Krönungsfeier in Ofen-Pest am 8. Juni 1869,US-Wc,ML31 .H43a no. 71,,,Skizze,,,,x,,,,,,,Kl 4hdg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,- | - | -,[unbekannte Melodie],US-Wc,ML31 .H43a no. 71,,,Skizze,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"R 638,6","Reinmar der Alte (Wartburg-Lieder, Nr- 6)",US-BApi,ML96 .L774 18--,,,Skizze,,,,,,,,,,,"Singst, Kl",,Dt,[Mit der Aufschrift Olga heut ein Der ... | Wo liebende Herzen sich innig verma],,,,,,,,,,"Liszt (schwarze Tinte, brauner Stift, Bleistift)","1 Blatt, 2 Seiten Notentext","Querformat, ca. 270 x 350 mm, 14 Notenzeilen, handrastriert",,,,,,Tesastreifen oben auf der zweiten Seite des Digitalisats. Die Quelle wurde in der Mitte (hochkant) gefaltet aufbewahrt,,"Skizze ist von Liszt mit schwarzer Tinte geschrieben, Blatt teilweise umgedreht beschrieben.",,Signatur so korrekt,https://cdm16613.contentdm.oclc.org/digital/collection/p16613coll2/id/1044/rec/4,DTie,,,,
