"(Verknüpfung)
Identifier | Nr.",RISM ID no.,WVZ-Nr.,"Titel (normiert, nach MGG)",Bestandeshaltende Institution,"Signatur, neu","Signatur, vormalig",Besitzervermerk (intern),Ausgabeform (Typ),Funktion,Übergeordnete Quelle,Untergeordnete Quelle,RISM-Nr. der übergeordneten Quelle,Titelei Umschlag und/oder Titelblatt (diplomatisch),Schreiber Titelei,Kopftitel,Schreiber Kopftitel,Besetzung (normiert),Tempoangabe (normiert),Metronomangabe,Sprachcode,Text-Incipit (diplomatisch),Widmung (diplomatisch),Datierung (diplomatisch),Datierung (maschinenlesbar),Ort (normiert),GND-Nr. Ort,Schrift (fremde Hand und Liszt),Umfang,Papiermaß,Wasserzeichen (intern),Verlag (normiert),Bezug zu Druck: Verlags-GND-Nr.,Bezug zu Druck: Plattennr.,Provenienz Station 1,Provenienz Station 2,Provenienz Station 3,Provenienz Station 4,Datierung ermittelt (maschinenlesbar),Ort ermittelt (normiert),Ort ermittelt GND-Nr.,Beschreibung physischer Merkmale / Zustand der Quelle (intern), Inhalt (interner Vermerk),"Notizen zur Quelle (vormals ""Beschreibung"", bleibt intern)",Kommentar zur Quelle (intern),Kommentar intern / Fragen (interne Kommunikation),Digitalisat,Bearbeiter,"Weiterführende Informationen (Ausgaben, Permalinks etc.) (intern)",Ausgabeform,Quellenautorität (für die Abbildung der Reiterstruktur in der Datenbank)
,,(R 415),Orpheus,D-WRgs,GSA 60/Y 11,,,Partitur,,,,,Orpheus | Symphonische Dichtung | für großes Orchester | von | Franz Liszt | für Orgel bearbeitet | von | [Rob: Schaab 117088862],,Orpheus,,Org,Andante moderato,,,,,,,,,"[Robert Schaab 117088862] (schwarze Tinte), Liszt (sepia Tinte, roter und blauer Stift), [Alexander Wilhelm Gottschalg 116794526] (blauer Stift) ","8 Blatt zu 3 Bogen und 2 Einzelblatt (Fadenheftung, 1 Titelseite, 15 Seiten Notentext, paginiert)","Hochformat, ??? x ??? mm, 12 Notenzeilen, handrastriert; Hochformat, ??? x ??? mm, 10 Notenzeilen; Querformat, ??? x ??? mm, 7 Notenzeilen, handrastriert",,,,,,,,,,,,,,"[Robert Schaabs 117088862] Bearbeitung des ""Orpheus"" unterzieht Liszt einer umfangreichen Revision und komponiert einen erheblichen Teil neu. Die erste Seite mit dem Beginn der Komposition streicht Liszt vollständig (roter Stift) und komponiert einen neuen Anfang (sepia Tinte), den er auf die verso Seite des Titelblatts notiert. Auf S. 4 streicht Liszt zwei Takte im obersten System und ein Manual im dritten System und markiert die Stellen mit den Buchstaben a und b als Einfügemarken (roter Stift). Die sie ersetzenden Stellen schreibt Liszt unter Seitenangabe und Einfügemarken auf das hochformatige Zusatzblatt. Eine Streichung von sieben Takten nimmt Liszt auf S. 5 vor (roter Stift), die sie ersetzende Passage befindet sich ebenfalls auf dem hochforamtatigen Zusatzblatt unter der entsprechenden Seitenangabe. Auf S. 6 streicht Liszt im obersten System die die lezten beiden Takte und den ersten Takt im folgenden System (roter Stift), weitere drei Takte streicht er im dritten System (zweiter roter Stift). Die neu komponierten Stellen befinden sich auf der verso-Seite des hochformatigen Zusatzblatts unter der Seitenangabe und den Taktangaben bezogen auf die Seite. Eine Passage von fünf Takten streicht Liszt auf S. 7 und notiert die neu komponierte Passage unter Angabe der Seite, auf der sie eingefügt werden soll, auf das hochforamtige Zusatzblatt. In dem der Streichung vorangehenden Takt streicht Liszt das zweite Manual und ersetzt es durch einen an den Rand geschriebenen Takt (schwarze Tinte). Das Pedal auf S. 8 ist beinahe komplett gestrichen, und auf dem querformatigen Zusatzblatt unter entsprechender Seitenangabe findet sich das von Liszt neu komponierte Pedal. S. 9 ist bis auf die letzten beiden Takte ganz gestrichen. Ebenso hat Liszt auf S. 10 die ersten 17 Takte gestrichen. Übrig sind 12 Schlusstakte, von denen allerdings der letzte ebenfalls gestrichen ist. Liszts neu komponierte Passage beginnt auf der recto-Seite des querformatigen Zusatzblattes und setzt auf der verso-Seite fort. Mangels Platz vermerkt Liszt unten auf dem Blatt ""Vide Titelblatt für die Schlusstakte"". Dementsprechend notiert Liszt die verbleibenden neuen Takte auf die Titelseite oberhalb des Titels. An diese Takte schließen die verbliebenen von [Schaab 117088862] notierten 11 Takte unmittelbar an. Liszt notiert ans Ende der auf das Titelblatt geschriebenen Passage ""weiter die 11 letzten Takte"".
 Vermutlich von [Alexander Wilhelm Gottschalg 116794526] stammt der Vermerk ""Repertorium"" auf der Titelseite, womit die Aufnahme in die von ihm herausgegebene Reihe ""Repertorium für Orgel, Harmonium oder Pedalflügel"" angezeigt wird.",,,https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:209808,BV,,,
,,R 411a (487),,D-WRgs,GSA 60/Y 13,,,Partitur,korrigierte Stichvorlage,,,,Benedictus | aus | der ungarischen 7 Krönungsmesse | für | Violine und Harmonium oder Orgel | von | Franz Liszt.,,Benedictus aus der ungarischen Krönungs- | messe,,"Vl, Harm/Org",Adagio molto,,,,,,,,,"[Alexander Wilhelm Gottschalg 116794526] (schwarze Tinte), Liszt (schwarze Tinte, Bleistift, blauer Stift), Dr (roter Stift)","4 Blatt zu 2 Bogen (1 Titelseite, 6 Seiten Notentext, 1 Leerseite, foliiert)","Hochformat, ??? x ??? mm, 20 Notenzeilen, handrastriert",,J. Schuberth & Co.,5330993-5,4952,,,,,,,,,,"An [Alexander Wilhelm Gottschalgs 116794526] Abschrift (?) nimmt Liszt einige kleinere und größere Ergänzungen und Korrekturen vor, so erweitert er gleich am Beginn die Instrumentenangabe, indem er zur Orgel das Harmonium hinzufügt, daneben finden sich von Liszt hinzugefügte Angaben zur Dynamik. Auch finden sich einige Rasuren. Auf S. 3v streicht Liszt einen Takt (Bleistift).",,,https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:209810,,,,
,,R 411b (487),,D-WRgs,GSA 60/Y 14,,,Partitur,korrigierte Stichvorlage,,,,Offertorium | aus | der ungarischen Krönungsmesse | für | Violine und Orgel oder Harmonium | von | Franz Liszt ,,Offertorium aus der ungarischen Krönungsmesse | Franz Liszt,,"Vl, Harm/Org",Lento assai,,,,,,,,,"[Alexander Wilhelm Gottschalg 116794526] (schwarze Tinte), Liszt (schwarze Tinte, Bleistift, blauer Stift), Dr (roter Stift, Bleistift)","4 Blatt zu 2 Bogen (1 Titelseite, 4 Seiten Notentext, 3 Leerseiten, foliiert)","Hochformat, ??? x ??? mm, 20 Notenzeilen, handrastriert",,J. Schuberth & Co.,5330993-5,,,,,,,,,,,"Liszt nimmt Ergänzungen von Dynamik, Phrasierung und Artikulation vor (blauer Stift, schwarze Tinte), korrigiert Vorzeichenfehler. Er nimmt nur wenige kleine kompositorische Eingriffe in den Notentext vor, vor allem auf S. 2r einige Rasuren und auf S. 2v im dritten System eine Streichung und Ersetzung des vorherigen Notentextes, hier ebenfalls unter Vornahme von Rasuren (schwarze Tinte, blauer Stift).",,"Titelei: Die Streichung und die Einfügung der Orgel vor dem Harmonium hat Liszt vorgenommen (schwarze Tinte). Das ""oder"" am Ende der Instrumentenangabe nicht zu streichen, war offenkundig ein Versehen. ",https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:209810,BV,,,
,,,,D-Mbs,Mus. ms. 24525,,,Partitur,,x,,,1. Marche de Paganini | 2 Mazurka de Chopin | 3. Tarantelle de Rossini | 4. Staendchen von Shakespeare nach Schubert | 5. Variationen von Francois Srünten (?) | 6. Variationen von Mozart | 7. Das Nachtlager in Granada von Kreitzer | 8. Das Lob der Thrönen von Franz Schubert | 9. Martha von Flotow | Pauline Freyseng,,,,Kl,,,,,,,,,,zS (schwarze Tinte),"4 Blatt zu 2 Bogen (7 Seiten Notentext, 1 Leerseite, paginiert)","Querformat, 230 x 314 mm, 10 Notenzeilen, handrastriert",,,,,,,,,,,,,,"Sammelalbum mit verschiedenen Stücken, gehörte [Pauline Freyseng 1021285153].",,"Titelei: Titel sind handschriftlich mit Tinte geschrieben, Nr. 7 und 8 von anderer Hand mit schwarzer Tinte, Nr. 9 von derselben Hand mit Sepia.",Photographierverbot,DTie,,,
,,,Ständchen,D-Mbs,Mus. ms. 24525,,,Partitur,,,x,,,,"Ständchen von Shakespeare. Musik v. Schubert, für Clavier von Liszt",,Kl,Allegretto,,,,,,,,,zS (schwarze Tinte),Blatt 1r-2v (von 4 Blatt),"Querformat, 230 x 314 mm, 10 Notenzeilen, handrastriert",,,,,,,,,,,,,,"Saubere Abschrift, ohne Eintragungen von Liszt. Als früherer Eigentümer wird [Pauline Freyseng 1021285153] angegeben. Stück ist auf S. 9-12 notiert.",Beide Abschriften befinden sich in demselben Sammelalbum,,Photographierverbot,DTie,,,
,,,Lob der Tränen,D-Mbs,Mus. ms. 24525,,,Partitur,,,x,,,,Lob der Thränen | Lied | von F. Schubert | P. Freyseng | Für Pianoforte übertragen von F. Liszt,,Kl,Andantino,,,,,,,,,zS (schwarze Tinte),Blatt 3r-4r (von 4 Blatt),"Querformat, 230 x 314 mm, 10 Notenzeilen, handrastriert",,,,,,,,,,,,,,"Saubere Abschrift, ohne Eintragungen von Liszt. Als früherer Eigentümer wird [Pauline Freyseng 1021285153] angegeben. Stück ist auf S. 37-39 notiert.",Beide Abschriften befinden sich in demselben Sammelalbum,,Photographierverbot,DTie,,,
,,,Arrangements von Symphonischen Dichtungen,D-Mbs,Mus. ms. 22439,,,Partitur,,x,,,"Les Préludes | Die Ideale | Orpheus | von Liszt | Arrangement für Clavier, 2 Violinen | Bratsche und Cello | von A. Ritter",,,,"2 Vl, Vla, Vlc, Kl",,,,,,,,,,"[Alexander Ritter 119322897] (schwarze Tinte, Bleistift)","52 Blatt (98 Seiten Notentext, 4 Leerseiten, paginiert)",,,,,,,,,,,,,,,"In dieser Quelle wurden drei Arrangements von [Alexander Ritter 119322897] zu den Symphonischen Dichtungen zusammengebunden. Jede der drei Arrangements weist ein eigenes Titelblatt auf. Die Paginierung wurde von Richter mit schwarzer Tinte geschrieben, archivarisch findet sich mit Bleistift eine komplette Paginierung.",,"Titelei: Umschlag besteht aus schwarzem Karton, der unten rechts stark beschädigt ist und weist einen Aufkleber auf, auf dem der Titel mit schwarzer Tinte notiert wurde.

Die Ermittlung der Bogenzahl ist durch das nachträgliche Binden nicht mehr möglich.",wird bestellt,DTie,,,
,,,Les Préludes,D-Mbs,Mus. ms. 22439,,,Partitur,,,x,,Les Préludes. (Nach Lamartine) | Symphonische Dichtung | von | Franz Liszt | Arrangement für | Clavierm 2 Viol. Bratsche u Cèllo | von A. Ritter.,,,,"2 Vl, Vla, Vlc, Kl",Andante,,,,,,,,,[Alexander Ritter 119322897] (schwarze Tinte),"18 Blatt (1 Titelseite, 33 Seiten Notentext, 2 Leerseiten, paginiert)","Querformat, 264 x 335 mm, 14 Notenzeilen, handrastriert",,,,,,,,,,,,,,"Sehr saubere Reinschrift mit nur wenigen Strichen und Rasuren. Komplett mit schwarzer Tinte geschrieben. Das Schluss des Stückes ist auf S. 33 mit ""Fine"" markiert.",,,wird bestellt,DTie,,,
,,,Die Ideale,D-Mbs,Mus. ms. 22439,,,Partitur,,,x,,Die Ideale | Symphonische Dichtung | von | Franz Liszt | Arrangement für | Clavierm 2 Viol. Bratsche u Cèllo | von A. Ritter,,,,"2 Vl, Vla, Vlc, Kl",Andante,,,,,,,Dresden,4012995-0,"[Alexander Ritter 119322897] (schwarze Tinte, Bleistift)","26 Blatt (1 Titelseite, 49 Seiten Notentext, 2 Leerseiten, paginiert)","Querformat, 264 x 335 mm, 12 Notenzeilen, handrastriert",,,,,,,,,,,,,,"Sehr saubere Reinschrift mit nur wenigen Strichen aber relativ vielen Rasuren. Komplett mit schwarzer Tinte geschrieben. Handschrift weist aber auch Eintragungen mit Bleistift auf, mit Korrekturen und vor allem Eintragung der Abschnitte mit Großbuchstaben. Auf S. 8 (46) findet sich ein Nota Bene mit schwarzer Tinte, dessen untere Zeile jedoch abgeschnitten wurde (""NB. Die mit einem __ bezeichneten Noten sollen nicht nur stark angesetzt, sondern aus ...). Die Quelle wurde also für den Zweck der Bindung kleiner geschnitten. Tinte drückt stark durch das Papier durch. Übernähung unten rechts auf S. 31 (69) (ca. 50 x 176 mm). Der Schnipsel wurde mit weißem Garn fixiert. Papier der letzten Seite restauriert bzw. für die Bindung verstärkt.
Durch den Zuschnitt wurde leider auch die mögliche Datierung abgeschnitten, auf S. 49 (87) ist von dem Fine nur die erste Silbe zu lesen, ferner als Ort ""Dresden"".",,,wird bestellt,DTie,,,
,,,Orpheus,D-Mbs,Mus. ms. 22439,,,Partitur,,,x,,,,,,"2 Vl, Vla, Vlc, Kl",Andante moderato,,,,,,,,,"[Alexander Ritter 119322897] (schwarze Tinte, Bleistift)","8 Blatt (16 Seiten Notentext, paginiert)","Querformat, 264 x 335 mm, 12 Notenzeilen, handrastriert",,,,,,,,,,,,,,"Saubere Reinschrift mit schwarzer Tinte, so gut wie keine Korrekturen. Titelblatt fehlt?",,,wird bestellt,DTie,,,
,,"R 192,1 (R 487)",Benedictus (aus der Ungarischen Krönungsmesse),D-WRgs,GSA 60/U 25,,,Partitur,korrigierte Stichvorlage,,,,Benedictus | aus der | Ungarischen Krönungs=Messe | von | Franz Liszt,,,,Kl,Adagio molto,,,,,,,,,"zS (schwarze Tinte), Liszt (schwarze Tinte, roter und blauer Stift), Dr (Bleistift, blauer Stift)","4 Blatt zu 1 Bogen und 2 Einzelblatt (6 Seiten Notentext, 1 Titelseite, 1 Leerseite, paginiert)","Querformat, ??? x ??? mm, 12 Notenzeilen, handrastriert",,,,4840,,,,,,,,,,"Äußerst präzise Abschrift (fast wie gedruckt) mit sporadischen Eintragungen von Liszt, der mit schwarzer Tinte an einigen Stellen die Schlüsselung nachträgt sowie auf S. 2 mit rotem (und einmal ? blauem) Stift Fingersätze notiert. Des Weiteren Pedalhinweise; ""sempre una corda (1. System, S. 3) sowie ""tre corde"" (1. System, S. 5). Die Paginierung der Quelle stammt von Liszt und ist mit blauem Stift gesetzt. Das Manuskript wirkt etwas ""schmutzig"" und weist vereinzelt Rasuren auf. Ansonsten finden sich Eintragungen für den Satz, u.a. mit Bleistift die Notiz auf S. 3: ""Keine | 3 | Systheme | nöthig"". Die Quelle wurde in der Mitte gefaltet aufbewahrt.",,"Titelei: Benedictus vom Schreiber mit Tinte in Kalligraphie geschrieben, der Rest (vom Drucker?) mit Bleistift, allerdings alles mit Bleistift gestrichen. Oben rechts mit blauem Stift eine weitere Nummer ""5295"". Oben an der Seite zudem der Zusatz mit blauem Stift ""2ms"".

Für mich schaut es im Digitalisat so aus als seien Titelblatt und letztes Blatt einzelne Blätter, bitte im Original prüfen.",https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:209431,DTie,,,
,,"R 192,2 (R 487)",Offertorium (aus der Ungarischen Krönungsmesse),D-WRgs,GSA 60/U 26,,,Partitur,,x,,,,,,,Kl,,,,,,,,,,"zS (schwarze Tinte), Liszt (schwarze Tinte, roter Stift?), Dr (blauer Stift, Bleistift)","6 Blatt zu ?? Bogen (8 Seiten Notentext, 4 Leerseiten, paginiert)","Querformat, ??? x ??? mm, 12 Notenzeilen, gedruckt?; Hochformat, ??? x ??? mm, 8 Notenzeilen, gedruckt",,,,4842,,,,,,,,,korrigierte Stichvorlage und korrigierter Druck,Quelle umfasst die Reinschrift von zS mit der Korrektur von Liszt sowie einen korrigierten Druck.,"Die Korrektur des Druckes scheint nicht von Liszt, sondern vom Drucker durchgeführt worden zu sein.",,https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:209433,DTie,,,
,,"R 192,2 (R 487)",Offertorium (aus der Ungarischen Krönungsmesse),D-WRgs,GSA 60/U 26,,,Partitur,korrigierte Stichvorlage,,x,,,,Offertorium der Krönungsmesse | für Pianoforte,zS (schwarze Tinte),Kl,Lento,,,,,,,,,"zS (schwarze Tinte), Liszt (schwarze Tinte, roter Stift?), Dr (blauer Stift, Bleistift)","3 Blatt zu ?? Bogen (5 Seiten Notentext, 1 Leerseite, paginiert)","Querformat, ??? x ??? mm, 12 Notenzeilen, gedruckt?",,,,4842,,,,,,,,,,"Schreiber der Reinschrift wirkt etwas ungeübt, unruhigerer Schreibstil, zudem relativ viele Rasuren. Wenige und zumeist textliche Hinzufügungen von Liszt sowie Ergänzungen von Schlüsseln mit Tinte. So Hinweis von Liszt mit Tinte zum Ossia auf S. 4: ""NB. im Stich müssen diese 3 Takte Ossia in kleinen Noten genau unter den oberen Taktstrichen eingetheilt werden"", zudem ergänzt er die Oktavierungen im Bass. Ob die gestrichelte Verbindung von System mit Ossia mit rotem Stift von Liszt ist oder nicht, ist wahrscheinlich, aber nicht zu entscheiden. Paginierung stammt von Liszt. Eintragungen mit blauem und Bleistift vom Drucker. ",,"Bitte Bogen prüfen, hier fehlen definitiv leere Notenblätter im Digitalisat, außerdem ist [S. 6] die einzige, die eine Knickfalte aufweist. Ich denke auch, dass die Notenlinien hier gedruckt sin, ebenfalls bitte nachschauen.",https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:209433,DTie,,,
,1001310748,R 615,Jugendglück,D-WRgs,GSA 60/D 76,,,Partitur,korrigierte Stichvorlage,,,,,,Jugendglück,,"Singst, Kl",Sehr schnell und glühend,,Deutsch,O süßer Zauber im Jugendmuth,,,,,,"[Eduard Grosse 1285034074] (schwarze Tinte), Liszt (schwarze Tinte), Dr (roter Stift)","4 Blatt zu 2 Bogen (Fadenheftung, 5 Seiten Notentext, 1 Leerseite)","Hochformat, 268 x 171 mm, 9 Notenzeilen, handrastriert",,,,,"1914-xx-xx, [Anna Spiering-Gille 1244345989], GSA-Findbuch",,,,,,,,,"Liszt trägt nur auf [S. 1] oben rechts den Textautor ""Richard Pohl"" nach. Im Notentext finden sich keine Eintragungen oder Korrektur von ihm. ","Schreiber: Eduard Grosse (erneut prüfen); GSA-Findbuch: Ankauf aus dem Nachlass von Anna Spiering-Gille (Jena), 1914",,https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:191583,URoe,,,
,1001237863,R 72,Alte deutsche geistliche Weisen,D-WRgs,GSA 60/Z 3,,,,,x,,,,,,,,,,,,,,,,,"zS (schwarze Tinte), Liszt (rote und schwarze Tinte)","16 Blatt (Fadenheftung, 16 Seiten Notentext, 16 Leerseiten, foliiert)","Querformat, ??? x ??? mm, 8 Notenzeilen, handrastriert",,,,,,,,,,,,,"korrigierte Abschrift, Stichvorlage","In den insgesamt sehr sauberen Abschriften ergänzt Liszt Fingersatz, Dynamik, Phrasierung und Artikulation (rote Tinte).",,"SK: Reihenfolge entspricht nicht dem späteren Druck, Katalogeintrag GSA sagt, zusätzlich Eintragungen von Drucker",https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:209825,BV,,,
,1001237921,R 72,"Was Gott tut, das ist wohlgetan",D-WRgs,GSA 60/Z 3,,,,,,x,,,,Was Gott thut das ist wohlgethan,,,,,Deutsch,"Was Gott thut, das ist wohlgethan",,,,,,,Blatt 1v-2r (von 16 Blatt),,,,,,,,,,,,,,,Liszt komponiert ein Postludium hinzu (rote und schwarze Tinte).,,,https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:209825,BV,,,
,1001237922,R 72,O Traurigkeit (am Karfreitag),D-WRgs,GSA 60/Z 3,,,,,,x,,,,O Traurigkeit. (am Charfreitag),,,,,Deutsch,O Traurigkeit,,,,,,,Blatt 3v-4r (von 16 Blatt),,,,,,,,,,,,,,,"Liszt nimmt nur wenige Ergänzungen von Fingersatz, Binde- und Haltebögen vor (rote Tinte).",,,https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:209825,BV,,,
,1001237923,R 72,Nun ruhen alle Wälder,D-WRgs,GSA 60/Z 3,,,,,,x,,,,Nun ruhen alle Wälder | Heinrich Isaak | Kapellmeister des Kaisers | Maximilian I. 1540,,,,,Deutsch,Nun ruhen alle Wälder,,,,,,,Blatt 5v-6r (von 16 Blatt),,,,,,,,,,,,,,,Nur minimale Ergänzungen durch Liszt.,,"Kopftitel: Die Jahresangabe ""1540"" ist nicht unmittelbar einsichtig, da [Heinrich Isaak 11855588X] 1517 verstarb. Es könnte ein Druck gemeint sein, in dem das Stück erschien oder sich um einen Zahlendreher handeln (um 1450 ist das angenommene Geburtsjahr Isaaks). ",https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:209825,BV,,,
,1001237925,R 72,Mein Seel erhebt den Herrn,D-WRgs,GSA 60/Z 3,,,,,,x,,,,Mein Seel erhebt den Herrn. |Kirchensegen | Psalm 67,,,Langsam,,Deutsch,Gott sei uns gnädig und barmherzig,,,,,,,Blatt 7v-8r (von 16 Blatt),,,,,,,,,,,,,,,"Liszt fügt Fingersatz, Crescendopfeile und Bindebögen hinzu.",,,https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:209825,BV,,,
,1001237926,R 72,O Haupt voll Blut und Wunden,D-WRgs,GSA 60/Z 3,,,,,,x,,,,O Haupt voll Blut und Wunden,,,,,Deutsch,O Haupt voll Blut und Wunden,,,,,,,Blatt 9v-10r (von 16 Blatt),,,,,,,,,,,,,,,Auf einer Überklebung von zwei Notensystemen komponiert Liszt ein Postludium hinzu (schwarze Tinte). Außerdem ergänzt er die Dynamik (rote Tinte).,,,https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:209825,BV,,,
,1001237927,R 72,O Lamm Gottes!,D-WRgs,GSA 60/Z 3,,,,,,x,,,,O Lamm Gottes!,,,,,Deutsch,O Lamm Gottes unschuldig,,,,,,,Blatt 11v-12v (von 16 Blatt),,,,,,,,,,,,,,,"Liszt nimmt kleine Korrekturen des Notentextes vor (rote und schwarze Tinte) und ergänzt Fingersatz, Dynamik und Bindebögen.",,,https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:209825,BV,,,
,1001237928,R 72,Wer nur den lieben Gott lässt walten,D-WRgs,GSA 60/Z 3,,,,,,x,,,,Wer nur den lieben Gott läst walten,,,,,Deutsch,Wer nur den lieben Gott lässt walten,,,,,,,Blatt 13v-14r (von 16 Blatt),,,,,,,,,,,,,,,Hauptsächlich ergänzt Liszt Fingersatz und Bindebögen.,,,https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:209825,BV,,,
,1001237930,R 72,Es segne uns Gott,D-WRgs,GSA 60/Z 3,,,Partitur,,,x,,,,,,"GCh (SATB), Org",Nicht schleppend,,Deutsch,Es segne uns Gott,,,,,,,Blatt 15v-16r (von 16 Blatt),,,,,,,,,,,,,,,Nur kleinere Ergänzungen von Dynamik und Bindebögen von Liszts Hand.,,,https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:209825,BV,,,
,,R 514,O Roma nobilis,D-WRgs,GSA 60/Z 5,,,,,,,,,,O Roma nobilis,,,,,,,,,,,,"zS (sepia Tinte), Liszt (schwarze Tinte)",2 Blatt zu 1 Bogen (3 Seiten Notentext),"Querformat, ??? x ??? mm, 8 Notenzeilen, handrastriert",,,,,,,,,,,,,,Eine sehr saubere Abschrift. Liszt schreibt den Gesangstext über den Notentext und nach Abschluss des Stücks noch einmal die erste Strophe des Hymnus.,Eintrag im GSA-Findbuch (Anm. 9) beachten,,https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:209849,BV,,,
, 464000191,R 22,Praeludium und Fuge. Über das Motiv B-A-C-H,D-B,"Mus.ms.autogr. Liszt, F. 6",,,Partitur,korrigierte Stichvorlage,,,,,,Praeludium und Fuge | Ueber das Motiv B-A-C-H,,Kl,Moderato,,,,,,,,,"zS (schwarze Tinte), Liszt (schwarze Tinte, Rötel, blauer Stift, Bleistift), Dr (Bleistift)","13 Blatt zu 5 Bogen und 3 Einzelblatt (Einband, 25 Seiten Notentext, 1 Leerseite, paginiert)","Hochformat, 320 x 240 mm, 10 Notenzeilen, handrastriert",,,,nicht vorhanden trotz Druckereintragungen,,,,,,,,,,"Saubere Abschrift, die von Liszt in mehreren Durchgängen korrigiert wurde. Der Schreiber hebt an manchen Stellen mit Tinte die BACH-Motive hervor. Er fügt mit unterschiedlichen Stiften (Rötel, blau) hauptsächlich Vorzeichen, Phrasierung, Pedalisierung, Crescendogabeln und Bögen ein). Es gibt kaum Striche oder Korrekturen, dafür aber einige Rasuren. S. 11 mit Tinte und Rötel ""Ossia""-Hinweis hervorgehoben, dazu mit schwarzer Tinte: ""NB. die | 2 Zeilen | Ossia in | kleinen | Noten stechen"". Besonders viel Pedal trägt Liszt auf S. 17 mit Rötel nach. 
Es finden sich zahlreiche Bleistifteintragungen vom Drucker, aber keine Plattennummer. Zudem ist die Quelle am äußeren Rand gefalzt (ca. 2,5 cm vom Rand).",Quelle ist in einen robusten Karton eingebunden,"Bogenzählung aufgrund des gebundenen Zustands sehr schwierig ohne der Quelle zu sehr zu Leibe zu rücken.

Kopftitel: das -iv in Motiv wurde von Liszt rastriert und korrigiert, vom wohl ""Motif"" geschrieben?
Zudem Nummer (vom Archiv?) ""Mu 1911930""",photographiert,DTie,,,
,464000275,R [515],O sacrum convivium,D-B,"Mus.ms.autogr. Liszt, F. 15",,,Partitur,,,,,,,"O sacrum convivium  | per Organo, ossia Harmonium solo",Liszt (schwarze Tinte),Harm/Org,"Andante, con divozione",[punktierte Halbe] = 50,,,,,,,,"zS (schwarze Tinte), Liszt (schwarze Tinte, roter und blauer Stift)","4 Blatt zu 2 Bogen (6 Seiten Notentext, 2 Leerseiten, paginiert)","Hochformat, 310 x 240, 14 Notenzeilen, handrastriert",,,,,,,,,,,,,,"Saubere Abschrift mit einigen Korrekturen von Liszt. Zwischen den Systemen sind zwei bis fünf Notenzeilen für Korrekturen frei gelassen. Liszt trägt mit schwarzer Tinte den Titel und die Tempoangabe ein und notiert auf S. B, S. C und S. F am Anfang des 1. Systems die Tonartvorzeichnung. Auf S. A ergänzt er im letzten Takt einen Taktstrich mit rotem Stift. Auf S. C streicht er im 2. und 3. System sechs Takte mit rotem Stift und notiert mit schwarzer Tinte unter dem 2. System zwei Takte in der Bassstimme neu und unter dem 3. System zwei Take mit der Angabe ""Ossia"". Auf S. D streicht er mit blauem Stift die drei Takte im 1. System und notiert darunter vier Takte neu. Auf S. E markiert er mit blauem und rotem Stift die Abtrennung der Ossia-Stellen. Am Ende der Seite notiert er mit blauem Stift den Wechsel in den Bassschlüssel in der Bassstimme, den er zu Beginn von S. F erneut einträgt. Auf S. F finden sich im 2. und dritten System einige Rasuren, die Liszt teilweise mit schwarzer Tinte überschreibt. | Die Seitenbuchstaben sind von Liszt mit rotem Stift geschrieben. ",,,http://resolver.staatsbibliothek-berlin.de/SBB0002F75600000000,URoe,,,
