"(Verknüpfung)
Identifier | Nr.",RISM ID no.,WVZ-Nr.,"Titel (normiert, nach MGG)",Bestandeshaltende Institution,"Signatur, neu","Signatur, vormalig",Besitzvermerk (intern),Stadium der Werkgenese,Autographe Funktion,,Übergeordnete Quelle,Untergeordnete Quelle,RISM-Nr. der übergeordneten Quelle,Titelei Umschlag oder Titelblatt,Kommentarfeld zu: Titel (der Quelle) Titelblatt | Umschlag,Kopftitel,Kommentarfeld zu: Titel (der Quelle) Notentext,Besetzung (normiert),Tempoangabe (normiert),Sprachcode,Text-Incipit (diplomatisch),Widmung (diplomatisch),Kommentar zur Widmung,Datierung (diplomatisch),Datierung (maschinenlesbar),Datierung ermittelt maschinenlesbar,Datierung Kommentar,Datierung Ort nach GND,Datierung Ort ermittelt,GND-Nr. Ort,Schrift (fremder Hand),Umfang,Papiermaß,Bezug zu Druck: Verlags-GND-Nr.,Bezug zu Druck: Plattennr.,Provenienz,Provenienz (diplomatisch),weitere Provenienzangabe,Beschreibung physischer Merkmale, Inhalt,"Notizen zur Quelle (vormals ""Beschreibung"", bleibt intern)",Kommentar,Kommentar intern,Digitalisat,Bearbeiter,"Sonstige Infos, Ausgaben, Permalinks",Provenienz Station 1,Provenienz Station 2,Provenienz Station 3
,,R 413 | S 96 | G2,Tasso. Lamento e Trionfo,D-WRgs,GSA 60/A 2c,,,Arbeitsmanuskript,Korrekturblatt,,,x,,,,Tasso,,"Orch (Fl, Ob, Klar in A, Fg, Hr, Vl, Vla, Vlc, Kb)",Allegretto mosso con grazia,,,,,,,,,,,,"Liszt (schwarze Tinte, roter Stift, Bleistift)",Blatt 1r-5r (von 19 Blatt),"Hochformat, 400 x 330 mm, 26 Notenzeilen, handrastriert",,,,,,,,"Quasi Reinschrift des Allegretto mosso con grazia (entspricht Partitur, S. 32-59) mit nur sehr wenigen Abweichungen und Korrekturen. Liszt nutzt viele Wiederholungen (1-14). Manche Eintragungen, Dynamik, Phrasierung etc. nimmt er nachträglich mit Bleistift vor. S. 4 Hinweis mit Tinte: ""für die übrigen Violinen divisi Vide dass kleine Correctur Blatt"". T. 1 auf Seite 5 mit Bleistift, ""Harfe tritt ein"". In den Violinen notiert Liszt noch die ältere Version der Spielfiguren in Achteltriolen (in Endfassung dann 16tel). Die Besetzung wird für Liszts Verhältnisse recht genau dokumentiert, insbesondere die Harfe wird mehrfach hervorgehoben (auch auf S. 6). Die Kadenzierung der Holzbläser zu Ende von S. 7 weicht geringfügig vom Druck ab. Auf S. 8 erfolgt die Einfügung der 28 Takte (Allegro Strepitoso), das entsprechend, auch mit einem Incipit, gekennzeichnet wird [Referenz in 60/a 2b auf S. 6]: ""Buchstaben A. | die ubrige Instrumentation | wie Seite 3. | Buchstaben A."" Darunter mit Bleistift: ""2 Hörner in E und B. | Clarinett mussen | in Es - transponiren"". Zur Einordnung auf S. 9 oben: ""Nach den 28 Takte Wiederholt [Verweiszeichen]"" Es folgt der musikalische Anschluss an die Abschrift Raffs (Part., S. 204, T. 2 bis Ende S. 59) sowie unten am Seitenende der Hinweis ""Vide Seite | 15"". S. 10 leer. Die Korrekturblätter sind sehr stark abgenutzt und das Papier wurde restauriert. Die Paginierung stammt von Liszt mit Bleistift.",,,https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:190250,DTie,,,,
,,R 413 | S 96 | G2,Tasso. Lamento e Trionfo,D-WRgs,GSA 60/A 2c,,,Arbeitsmanuskript,Korrekturblatt,,,x,,,,zur Seite 17. JJ,,"Orch (2 Fg, 2 Hr in C, 2 Hr in F, 4 Trp, 4 Pos)",,,,,,,,,,,,,"Liszt (schwarze Tinte, Bleistift)",Blatt 6r (von 19 Blatt),"Hochformat, 364 x 273 mm, 22 Notenzeilen, handrastriert",,,,,,Querfalz,,"Einzelblatt, das zwei kurze Korrekturen enthält, 1) drei Takte ""zur Seite 17. II"". Das entspricht S. 17 in Raffs Abschrift sowie S. 68, T.4-6 in der Partitur. Die zweite Korrektur bezieht sich auf einen Takt Tutti vor Eintritt des Moderato pomposo (Part. S. 80, letzter Takt). Auch der Auftakt in den Streichern ist notiert sowie der Hinweis mit Bleistift: ""Weiter [schwarze Tinte] | Buchstaben | K | Seite 27"". Rückseite ist leer.",vgl. GSA 60/A 2b,,https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:190250,DTie,,,,
,,R 413 | S 96 | G2,Tasso. Lamento e Trionfo,D-WRgs,GSA 60/A 2c,,,Arbeitsmanuskript,Korrekturblatt,,,x,,,,Correctur zu Lamento e Trionfo,Liszt (Bleistift),"Orch (2 Fl, 2 Ob, 2 Klar, Bklar, 2 Fg, 2 Hr in C, 2 Hr in B, 3 Pos, Trg, Bck, Vl, Vla, Vlc, Kb)",,,,,,,,,,,,,"Liszt (schwarze Tinte, Rötel, Bleistift)",Blatt 7r-8v (von 19 Blatt),"Hochformat, 340 x 266 mm, 13 Notenzeilen, handrastriert",,,,,,"Querfalz, gleiches Papier Blatt 7-16, 18, 19",,"Dieser Bogen beinhaltet viele kleine Korrekturen bzw. Ergänzungen von Instrumenten, die alle mit Tinte kommentiert sind und ihren Verweis mit Buchstaben mit Bleistift erhalten. [S. 13]: ""Seite 1 - 1- 2 und 3ter Takt kommen 2te Violinen und Viola hinzu | + A"" [Notenbeispiel, aber alles gestrichen]. ""Seite 2 - 1, 2, 3 und 4 Takt kommen 1te Violinen, und Contrabass hinzu - | 2te Violine liegt im 1sten Takt, 8tava tiefer | + B"" [Notenbeispiel]. ""Contrabass mit den Cellis - 8, 9, 10, 11, 12, 13, 14, 15ten Takte - Seite 2 - | + C [Notenbeispiel]. [S. 14]: ""Seite 2. | zu den 4 letzten Takte - treten Hörner | und Fagott hinzu | + D [Notenbeispiel]. [S. 15] Triangel zu Seite 5, jedoch gestrichen (""+ E). ""Seite 6 - erster Takt - | + F [Notenbeispiel]. [S. 16]: ""letzte Zeile Seite 10 - 2ter Takt | + G | kommen Clarinett und Fagott hinzu - dann Cellis und 4 Hörner -"" [Notenbeispiel]. ",vgl. GSA 60/A 2b,,https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:190250,DTie,,,,
,,R 413 | S 96 | G2,Tasso. Lamento e Trionfo,D-WRgs,GSA 60/A 2c,,,Arbeitsmanuskript,Korrekturblatt,,,x,,,,zu Seite 2. 8ter Takt,,"Orch (2 Fl, 2 Klar in C, 2 Fg, 2 Hr in B, 2 Hr in C)",,,,,,,,,,,,,"Liszt (schwarze Tinte, Bleistift)",Blatt 9r-9v (von 19 Blatt),"Querformat, 137 x 266 mm, 5 Notenzeilen, handrastriert",,,,,,"gleiches Papier Blatt 7-16, 18, 19",,"Zugeschnittenes Korrekturblatt. ""Zu Seite 2. 8ter Takt | Flöten bleiben wie in der Partitur"". Auf der Rückseite [18]: ""NB. Seite 3 bei der späteren Wiederholung dieser Takte müssen die | Hörner in B - als Hörner in Es ausgeschrieben sein."" ",vgl. GSA 60/A 2b,,https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:190250,DTie,,,,
,,R 413 | S 96 | G2,Tasso. Lamento e Trionfo,D-WRgs,GSA 60/A 2c,,,Arbeitsmanuskript,Korrekturblatt,,,x,,,,Seite 4 - vom 5ten Takt angefangen,,"Orch (Vl, Hrf)",,,,,,,,,,,,,"Liszt (schwarze Tinte, Bleistift), zS (Bleistift)",Blatt 10r (von 19 Blatt),"Querformat, 202 x 267 mm, 8 Notenzeilen, handrastriert, unten abgeschnitten",,,,,,"gleiches Papier Blatt 7-16, 18, 19",,"Zugeschnittenes Korrekturblatt. ""Seite 4 - vom 5ten Takt angefangen"". Notiert sind die geteilten Violinen sowie die ""Harfe "" zu Seite | 5"". Dahinter: ""weiter Seite 6"" sowie der Hinweis vom Drucker (?) mit Bleistift, ""offen lassen"". Rückseite ist leer.",vgl. GSA 60/A 2b,,https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:190250,DTie,,,,
,,R 413 | S 96 | G2,Tasso. Lamento e Trionfo,D-WRgs,GSA 60/A 2c,,,Arbeitsmanuskript,Korrekturblatt,,,x,,,,zur Seite 7 die ersten 13 Takte - BassClarinett Solo,,"Orch (2 Fg, 2 Hr in B, Vla, Vlc, Kb)",,,,,,,,,,,,,"Liszt (schwarze Tinte, Bleistift)",Blatt 11r (von 19 Blatt),"Hochformat, 339 x 265 mm, 13 Notenzeilen, handrastriert",,,,,,"Querfalz, gleiches Papier Blatt 7-16, 18, 19",,"Korrekturblatt ""zur Seite 7 die ersten 13 Takte - BassClarinett Solo"". Dazu schreibt Liszt mit Bleistift oben links ""Buchstaben B"". Auf Höhe der Fagottstimme im ersten System schreibt Liszt den Hinweis, ""Harfe kommt noch hinzu"". Unten rechts Verweis ""Vide Partitur"". Rückseite ist leer, aber mit Bleistift mit ""Tasso"" versehen (wohl nicht Liszt).",vgl. GSA 60/A 2b,,https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:190250,DTie,,,,
,,R 413 | S 96 | G2,Tasso. Lamento e Trionfo,D-WRgs,GSA 60/A 2c,,,Arbeitsmanuskript,Korrekturblatt,,,x,,,,Lamento e Trionfo,,"Orch (Bklar, Fg, Hrf, Vl)",,,,,,,,,,,,,"Liszt (schwarze Tinte, Bleistift)",Blatt 12r-13r (von 19 Blatt),"Hochformat, 339 x 266 mm, 13 Notenzeilen, handrastriert; Überklebung Blatt 12r a, Querformat, 231 x 242 mm, 10 Notenzeilen, handrastriert",,,,,,"Querfalz, gleiches Papier Blatt 7-16, 18, 19",,"Harfenstimme ab Buchstabe B (Part, S. 13 bis S. 17, T. 3). Das ausgiebige C-Dur Arpeggio streicht Liszt jedoch mit Bleistift und schreibt dazu, ""leer lassen"". Zudem ist der komplette Notentext auf [S. 23] mit einer Korrektur überklebt. Auf [S. 25] folgt die Harfenstimme von Buchstabe D (E-Dur), was der Partitur von S. 25-28 entspricht. Danach notiert Liszt ""tacet"", das von zwei Fermaten und Doppelstriche eingerahmt ist. ",vgl. GSA 60/A 2b,,https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:190250,DTie,,,,
,,R 413 | S 96 | G2,Tasso. Lamento e Trionfo,D-WRgs,GSA 60/A 2c,,,Arbeitsmanuskript,Korrekturblatt,,,x,,,,zu Seite 9 die ersten 5 Takt,,"Orch (Bklar, 2 Fg, Hr)",,,,,,,,,,,,,"Liszt (schwarze Tinte, Bleistift)",Blatt 14r (von 19 Blatt),"Querformat, 90 x 266 mm, 4 Notenzeilen, handrastriert",,,,,,"Querfalz, gleiches Papier Blatt 7-16, 18, 19",,"Zugeschnittenes Korrekturblatt. ""zu Seite 9 die ersten 5 Takte"". Notation umfasst Bassklarinette, Horn und Fagott. Es ist mit einem Bleistift-X markiert, das seine Entsprechung in der Raff Abschrift auf S. 9 oben hat. Die Rückseite des Blattes ist leer. ",vgl. GSA 60/A 2b,,https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:190250,DTie,,,,
,,R 413 | S 96 | G2,Tasso. Lamento e Trionfo,D-WRgs,GSA 60/A 2c,,,Arbeitsmanuskript,Korrekturblatt,,,x,,,,zu Seite 11 - Buchstaben D,,Orch (Vl),,,,,,,,,,,,,"Liszt (schwarze Tinte, Bleistift)",Blatt 15r (von 19 Blatt),"Querformat, 157 x 266 mm, 7 Notenzeilen, handrastriert",,,,,,"gleiches Papier Blatt 7-16, 18, 19",,"Zugeschnittenes Korrekturblatt. ""zu Seite 11 - Buchstaben D"". Akkorde in den beiden Violinen, nachträglich mit Bleistift mit ""pizzi"" versehen, 7 Takte der E-Dur-Stelle, danach schreibt Liszt ""Vide Partitur"". Die Rückseite des Blattes ist leer. ",vgl. GSA 60/A 2b,,https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:190250,DTie,,,,
,,R 413 | S 96 | G2,Tasso. Lamento e Trionfo,D-WRgs,GSA 60/A 2c,,,Arbeitsmanuskript,Korrekturblatt,,,x,,,,Seite 13 - 9ter Takt,,"Orch (Picc, 2 Fl, 2 Ob, 2 Klar, 2 Fg, 2 Hr in C, 2 Hr in E, 2 Trp, Pos, Tpos, Bpos, Tb, Pk, Vla)",,,,,,,,,,,,,"Liszt (schwarze Tinte, Bleistift)",Blatt 16r-16v (von 19 Blatt),"Hochformat, 339 x 266 mm, 13 Notenzeilen, handrastriert",,,,,,"Querfalz, gleiches Papier Blatt 7-16, 18, 19",,"Korrekturblatt. ""Seite 13 - 9ter Takt - Piccolo, Flöten, Oboen | dann Hörner dazu - und geänderte Trompetten | und Posaunen"" Es handelt sich um Korrekturblatt ""+H"" (s. Raff-Abschrift S. 13). Gesamte Partiturseite, Nachtrag von Fagott und Pauken am unteren Blattrand, zudem Viola-Tremoli mit Bleistift sowie ein Orchestercrescendo. Am Ende des Blattes notiert Liszt mit Tinte, ""übrige | Stimmen | bleiben | wie in | der Partitur"". Auf der Rückseite folgt der Abschluss der Korrektur sowie der Hinweis ""Vide Einlage | 8 Seiten | grosse [?] Partitur"". Dahinter setzt Raabe mit Bleistift ""(gemeint ist Ms A 2a) | Raabe"". Im System darunter befindet sich Korrektur ""+I Seite 16, 3te Zeile, 2ter und 3ter Takt"". Die punktierten Rhythmen in den Pauken, Hörner und Trompeten sind mit Bleistift weitergeschrieben, allerdings ist alles gestrichen und mit ""Vide das nächste Blatt"" überschrieben. ",vgl. GSA 60/A 2b,,https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:190250,DTie,,,,
,,R 413 | S 96 | G2,Tasso. Lamento e Trionfo,D-WRgs,GSA 60/A 2c,,,Arbeitsmanuskript,Korrekturblatt,,,x,,,,Seite 16 - 3te Zeile 2ter Takt,,"Orch (2 Fl, 2 Ob, 2 Klar, 2 Fg, 2 Hr in C, 2 Hr in G, 2 Trp in C, Vl, Vla, Vlc, Kb)",,,,,,,,,,,,,"Liszt (schwarze Tinte, Rötel, Bleistift)",Blatt 17r-17v (von 19 Blatt),"Hochformat, 338 x 246 mm, 14 Notenzeilen, handrastriert; Überklebung Blatt 17r a, Querformat, 94 x 207 mm, 3 Notenzeilen, handrastriert",,,,,,"Querfalz, Überklebung wie Papier Blatt 7-16, 18, 19",,"Auf diesem neuen Blatt wird Korrektur ""I"" weiter ausgeführt; ""Seite 16 - 3te Zeile 2ter Takt | 3te Zeile"" [?]. Sie beginnt mit einer Überklebung der Blechbläser und ist vollständig in Partitur ausgeführt. Unten Hinweis und Incipit von Liszt. ""Dann weiter bei Buchstaben H."" Auf der Rückseite findet sich eine zweizeilige Bleistiftskizze, die ggf. gar nicht von Liszts Hand ist (Musik nicht identifiziert).",vgl. GSA 60/A 2b,,https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:190250,DTie,,,,
,,R 413 | S 96 | G2,Tasso. Lamento e Trionfo,D-WRgs,GSA 60/A 2c,,,Arbeitsmanuskript,Korrekturblatt,,,x,,,,Seite 19 - 2 letzten Takte,,"Orch (2 Hr in C, 2 Trp, Apos, Tpos, Bpos, Tb, Vl, Vla, Vlc, Kb)",,,,,,,,,,,,,"Liszt (schwarze Tinte, Rötel, Bleistift)",Blatt 18r-18v (von 19 Blatt),"Hochformat, 340 x 266 mm, 13 Notenzeilen, handrastriert",,,,,,"Querfalz, gleiches Papier Blatt 7-16, 18, 19",,"Auf diesem Korrekturblatt finden sich mehrere kurze Korrekturen: (+J). ""Seite 19 - 2 letzten Takte"", 10 Takte Blechbläser und tiefe Streicher, mit Tinte geschrieben. Darunter Korrektur ""+K"", ""Seite 264 4ter Takt | Die Blasinstrumente auch ohne Syncopen"", zudem der Hinweis mit Bleistift: ""NB. die Noten der Holz Bläser | bleiben wie in der Partitur | blos ohne Syncopirung | in halben Noten mit den Violinen"". Es folgt die Notation in schwarzer Tinte, die mit Abbreviaturen (1-6) versehen ist (Tinte und roter Stift. von fremder Hand auch mit Bleistift [?]). Hier findet sich auch das ""#"" mit rotem Stift aus der Partitur wieder. unter den Systemen sind die Pauken mit Bleistift sowie eine weitere Korrektur der Horner in C und ""Trompetten"" im unisono auf freihändig gezeichneten Notenlinien geschrieben. Auf der Rückseite findet sich mit Bleistift skizziert Korrektur ""L"", die den dreitönigen Auftakt der Streicher vor dem Eintritt des Allegro pomposo (Part, S. 81, T. 1) beinhaltet.",vgl. GSA 60/A 2b,,https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:190250,DTie,,,,
,,R 413 | S 96 | G2,Tasso. Lamento e Trionfo,D-WRgs,GSA 60/A 2c,,,Arbeitsmanuskript,Korrekturblatt,,,x,,,,zu Seite 33 - die 4 ersten Takte,,"Orch (2 Hr in C, 2 Trp)",,,,,,,,,,,,,"Liszt (schwarze Tinte, Bleistift)",Blatt 19r-19v (von 19 Blatt),"Querformat, 81 x 266 mm, 3 Notenzeilen, handrastriert",,,,,,"gleiches Papier Blatt 7-16, 18, 19",,"Zugeschnittenes Korrekturblatt. ""zu Seite 33 - die 4 ersten Takte -"". Korrektur von Hörner in C und ""Trompetten"", wobei 3 und 4 unten auf freihändig gezeichneten Notenlinien hinzugesetzt sind. Korrektur wird auf der Rückseite weitergeschrieben und beinhaltet den Schluss der Komposition (Noten identisch mit gedruckter Partitur in GA). ",vgl. GSA 60/A 2b,,https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:190250,DTie,,,,
,1001258084,R 418 | S 101 | G10,Festklänge,D-WRgs,"GSA 60/A 7c,1-3","Ms A, 7|c1",,,Korrekturblatt,,,x,1001258046,,,Trompetten - Posaunen - Pauken - Piccolo und Schlag | Instrumente | von Seite 10,Liszt (schwarze Tinte),"Trp, Pos, Bck, grTr, Pk ",,,,,,,,,,,,,"Liszt (schwarze Tinte, Rötel, Bleistift), Dr (Bleistift)",Blatt 2r-6r (von 21 Blatt),"Hochformat, 340 x 267 mm, 13 Notenzeilen, handrastriert",,,,,,,,"Saubere Reinschrift der fehlenden Blechbläser und Schlaginstrumente. Die einzelnen Stellen sind von Liszt eindeutig zu Beginn und zum Ende der Notation beschrieben, wo sie eingefügt werden sollen. Das Autograph weist dennoch einige wenige Striche mit Bleistift sowie Rasuren auf. Das Manuskript enthält auch Eintragungen (umrundete Zahlen) vom Drucker, die auf eine Verwendung für die Erstellung der Stichvorlage hindeuten. Die Einlagen sind von Liszt folgendermaßen mit Tinte und/oder Bleistift beschrieben: S. 1: ""Seite 10 - letzter Takt. Dann die 10 ersten Takt von Seite 11"". S. 2: ""Seite 18 - die 2 letzten Takte [...] tacet bis zur | Seite 25."" S. 3: ""Seite 25 Anfang [...] Weiter Andante zu Seite 26 C D-Dur"". S. 5: ""Seite 26 - 6ter Takt | Andante [...] Dann | Seite 29 die 41 Takte Seite | 7, 8, 9, 10 und 11"". Hier fügt Liszt mit Bleistift den bei der Wiederholung zu ändernden Notentext unten an (1 Takt plus Fermate, ""letzte Takt nach der Wiederholung."" S. 6: ""Seite 35 - 9ter Takt -"" S. 7 [9]: ""Andante - Seite 38"". Hier strich Liszt mit Bleistift die letzten beiden Takte auf der Seite sowie die letzten beiden Takte im ersten System auf S. 8 [10]. Deren Korrektur erfolgt auf dem aufgeschlagenen Bogen auf der gegenüberliegenden recto-Seite und wird zudem mit Bleistiftstrichen markiert. Gleiches gilt für den Einschub von zwei Takten zu Beginn des unteren Systems, die mit einem großen * sowohl mit Bleistift als auch mit rotem Stift markiert sind und sich ebenfalls auf der recto-Seite 9 befinden. Der Schluss ist von Liszt mit rotem Stift mit ""Ende"" hervorgehoben.",,,https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:190272,DTie,,,,
,1001258090,R 418 | S 101 | G10,Festklänge,D-WRgs,"GSA 60/A 7c,1-3","(zu Ms A, 7|c1 bis)",,Arbeitsmanuskript,Korrekturblatt,,,x,1001258046,,,Correctur A Seite 10,Liszt (rote Tinte),"Orch (Fl, Ob, Klar, Fg, Hr, Vl, Vla, Vlc) ",,,,,,,,,,,,,"Liszt (schwarze und rote Tinte, Bleistift)",Blatt 7r (von 21 Blatt),"Querformat, 266 x 343 mm, 10 Notenzeilen, handrastriert",,,,,,,,"Das Blatt enthält vier Korrekturen und ist mehrheitlich mit roter Tinte geschrieben. ""Correctur A Seite 10"", diese beinhaltet das kurze Violinen-Solo als Überleitung. ""Correctur B. 5 Takte"", ebenfalls eine Überleitungsfigur, in der bei den Violinen ""con grazia"" Sextolen hinzukommen (im Druck dann Triolen). ""Correctur C. Seite 24"" und ""Correctur D. 5 Takte | Seite 25"" beinhalten jeweils die Analogstellen bei der ""Reprise"" im Stück. Bei der letzteren ergänzt Liszt die beiden ersten Takte in den Violinen mit schwarzer Tinte und trägt nachträglich die Sextolen ""6"" mit Bleistift ein. Dies gilt auch für die Vorzeichenkorrekturen bei ""Correctur C"" sowie der zusätzlichen Identifikation der ""Correctur D"". ","Raabe (Bleistift): Weist auf ein verlorenes Ms hin, das ",,https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:190272,DTie,,,,
,,R 381 | S 260/1 | E3,Präludium und Fuge über den Namen BACH ,A-Wgm,A 192a,VII 75359,,Arbeitsmanuskript,Korrekturblatt,,,,,,,,"Es gibt keinen Titel, nur die Durchnummerierung der einzelnen Korrekturen",Kl 4hdg,,,,"meinem Verehrten Freund | [C. Thern 117302791] | FL""",von Liszt am Ende des Notentextes mit blauem Stift geschrieben,,,,,,,,"Liszt (schwarze Tinte, roter und blauer Stift, Bleistift)","4 Blatt zu 2 Bogen, 5 Seiten Notentext, 3 Leerseiten","Hochformat, 349 x 267 mm, 32 Notenzeilen, handrastriert",,,,,,,,"Sehr sauber notierte Reinschrift der Korrekturen bzw. ""Änderungen als Vorlage für die Bearbeitung für zwei Klaviere von Karl Thern"" mit einigen wenigen Rasuren und Korrekturen. Die einzelnen Stellen sind von Liszt mit Buchstaben nummeriert (A-K, abwechselnd mit rotem und blauem Stift geschrieben), zudem ist die jeweilige Seite, wo die Änderung eingefügt werden soll, niedergeschrieben. [S. 3]: A ""Seite 2"", drei Akkorde in beiden Klavieren; B ""Seite 2 und 3"", virtuose 16tel Passage im Primo; C ""Seite 4. | 3 Takte | mehr"", chromatisch fallende Akkordprogression über tremolierenden Bässen in beiden Klavieren. [S. 4]: D ""Seite 6"" und ""Seite 7"" (mit blauem Stift geschrieben), Spielfigur zunächst im Secondo, dann in beiden Klavieren, zum Schluss ändert Liszt die Generalvorzeichen auf 2b und notiert mit blauem Stift ""weiter 3 Takte Seite 7""; E ""8 Zeile | Ossia"", dichter Satz mit Doppeloktaven; F Korrektur im Primo, zwischen E und F ist notiert ""weiter | Seite 8"", unklar, worauf sich dies konkret bezieht. [S. 5]: G ""Seite 10 | 2tes | P. F.""; H [wieder mit rotem Stift geschrieben], ""Seite 12 | 1tes P. F., chromatische Achtelbewegung; I ""Seite 19 | 2tes | P. F., längere Änderung auf drei Systemen, auffällig die 2-3 Fingersätze in beiden Händen (agogischer ""Abzug"" von den Tasten gefordert). [S. 6]: Änderung I wird hier weitergeführt (komplette Seite), dort Korrektur der linken Hand im Secondo mit Bleistift sowie Vorzeichenkorrektur im zweiten Takt im dritten System mit rotem Stift, Systeme sind jeweils mit einem ""#"" mit blauem Stift markiert, ferner folgt der Verweis mit Tinte, "":+: Seite 22"". [S. 7]: J. [mit rotem Stift] ""B A C H"" [mit blauem Stift]: in vollen Akkorden ausnotiertes musikalisches Namenssymbol, ""Seite 22"" und am Ende des zweiten Systems ""weiter Seite 23.""; K. [blauer Stift]m ohne Hinweis auf Positionierung sowie Korrektur von b-Vorzeichen mit blauem Stift. Am unteren Ende der Seite folgt Liszts Widmung und Signatur.",,,wird bestellt,DTie,,,,
,,"R 106,18 | S 244 | A132",Rhapsodie Nr. 18 (Schluss),H-Bami,Fond 2/126,C.574/1969/a,,Arbeitsmanuskript,Korrekturblatt,,,,,,,,,Kl,,,,,,,,,,,,,"Liszt (schwarze und rote Tinte, roter und blauer Stift)","1 Blatt, 2 Seiten Notentext","Hochformat, 332 x 240 mm, 12 Notenzeilen, handrastriert",,,Maior Ervin Gyüjkménye,MAIOR ERVIN GYÜJKMÉNYE,,,,"Laut Information handelt es sich um den Schluss der 18. Ungarischen Rhapsodie. In der Tat ist Blatt1r mit rotem Stift von Liszt mit ""Vide A, B"" überschrieben und der komplette mit schwarzer Tinte notierte und an einigen Stellen rasierte Notentext mit rotem Stift gestrichen. Ähnlichkeit mit der 18. Rhapsodie lässt sich nur in der Tonart Fis-Dur und im 2/4tel Takt ausmachen, ansonsten weicht der Text auf der Recto-Seite völlig von dem Druck ab. Auffällig ist ein markanter Unisono-Sextsprung (Viertel-Viertel-Halbe), der als zentrales Motiv wiederkehrt, im Druck aber nicht mehr auftaucht. Auf der Verso-Seite finden sich jedoch Abschnitte aus dem gedruckten Notentext (T. 81-92), inklusive der Ossia-Fassung, deren Oktavierung mit roter Tinte ergänzt wurde. Im Anschluss folgt im Piu mosso der Schluss (mit dem Sextenmotiv), der jedoch zunächst mit rotem Stift, in der letzten Zeile mit blauem Stift komplett gestrichen ist. Da diese Seite mit einer blauen ""5"" paginiert ist, muss hier ebenfalls ein größerer Zusammenhang bestanden haben.",,"Wo ist der Rest (Paginierung ""5"")?",wird erstellt,DTie,,,,
,,R 421 | S 104 | G22,Hamlet,H-Bn ,Ms. mus. 5.600,V 549-72/2/1973,,Arbeitsmanuskript,Korrekturblatt,,,,,,,,,"Orch (A: 2 Klar, Str; B: 2 Pos, Pk; C: Str; D: 2 Kl, 2 Ob, 2 Klar, 2 Fg, 4 Hr, 2 Trp, 2 Pos, Pk, Str)",,,,,,,,,,,,,"Liszt (schwarze Tinte, blauer Stift)","1 Blatt, 2 Seiten Notentext","Hochformat, 344 x 270 mm, 30 Notenlinien, handrastriert",,,Orszszéchényi Könyvtár,ORSZSZÉCHÉNYI KÖNYVTÁR,,"das Einzelblatt wurde falsch herum eingebunden (beginnt mit C und D, dann kommen A und B)",,"Korrekturbogen zum Hamlet mit vier Korrekturen, die mit blauem Stift von A bis D gekennzeichnet sind (ebenso die Abschnittsbuchstaben in der Partitur). Auf der Innenseite des Einbands sind mit Bleistift die einzufügenden Takte gekennzeichnet, wahrscheinlich von Maria Eckhardt, die die Zahlen auch bei sich aufführt: A: T. 176-194; B: T. 226-290; C: T. 299-305; D: T. 317-338. Die ersten beiden Korrekturen sind von Liszt mit Tinte erklärt: A. ""Änderungen in dem Quartett und Clarinetten Seite 22-23; B: ""Posaunen und Pauken treten hinzu - Änderungen auch im Fagott und Horn"" [nicht notiert?]. Bei C weist Liszt auf den Anschluss hin, ""zurück Seite 30"", bei D scheint die Angabe des Buchstaben ""Q"" unter dem System für die Lokalisierung zu genügen.",Die Positionierung der Korrekturen sollte sicherhaltshalber noch einmal mit dem Digitalisat an der Partitur überprüft werden,,wird bestellt (100 Huf pro Scan),DTie,,,,
