"(Verknüpfung)
Identifier | Nr.",RISM ID no.,WVZ-Nr.,"Titel (normiert, nach MGG)",Bestandeshaltende Institution,"Signatur, neu","Signatur, vormalig",Besitzvermerk (intern),Ausgabeform (Typ),Funktion,Übergeordnete Quelle,Untergeordnete Quelle,RISM-Nr. (falls vorhanden),Titelei Umschlag oder Titelblatt,Digitalisat Titelei,Widmung (diplomatisch),Verlag,Verlags GND-Nr.,Ort (normiert),GND-Nr. Ort,Plattennummer,Stecherei,Stecherei GND-Nr.,Preis,Abbildung (figurativ),Druckumfang,Drucktyp,Kopftitel,Besetzung (normiert),Tempoangabe (normiert),Metronomangabe,Sprachcode ,Text-Incipit (diplomatisch),Titel Umschlag und/oder Titelblatt (handschriftliche Zusätze),Kopftitel (handschriftliche Zusätze),Geschenkvermerk (handschriftlich) (diplomatisch),Datierung (diplomatisch),Datierung (maschinenlesbar),Ort (handschriftlich) (normiert),GND-Nr. Ort,Schrift (Liszt egh.),Schrift (zS/fremde Hand),Umfang,Papiermaß,Wasserzeichen (intern),Provenienz Station 1,Provenienz Station 2,Provenienz Station 3,Provenienz Station 4,Personen,Datierung ermittelt (maschinenlesbar),Datierung Ort ermittelt (normiert),Ort ermittelt GND-Nr.,Beschreibung physischer Merkmale / Zustand der Quelle (intern), Inhalt (interner Vermerk),"Notizen zur Quelle (vormals ""Beschreibung"", bleibt intern)",Kommentar zur Quelle (intern),Kommentar intern / Fragen (interne Kommunikation),Digitalisat,Bearbeiter,"Weiterführende Informationen (Ausgaben, Permalinks etc.)",Datierung Erstauflage,Kommentar Datierung Erstauflage
,,R 619,Die Fischerstochter,D-WRgs,GSA 60/D 99,,,Partitur,Korrekturabzug,,x,,,,,C. F. Kahnt ,107297469X,Leipzig ,4035206-7,3197,,,,,S. 24-31,Plattendruck,La Fille du Pêcheur. | Die Fischerstochter.,"Bar/Mez, Kl",Allegretto,,Französisch | Deutsch,Qu'attand la fille du pécheur | Die Fischerstocher sitzt am Strand,,,,,,,,,zS (sepia Tinte),S. 24-31 (von 36 Blatt),,,,,,,,,,,,,"Auf S. 24 ist mit schwarz-brauner Tinte der Auftakt in der Singstimme von einer Viertel- in eine Achtelnote korrigiert mit dem Vermerk ""Nur ein Achtel"". Auf der Rückseite von S. 24 steht mit schwarzer Tinte: ""Ich bitte, sorgfältig | zu berichtigen, daß | keine Fehler stehen | bleiben."" Auf S. 25 ist mit schwarz-brauner Tinte ein Kreuzvorzeichen nachgetragen und eine Vorschlagnote gestrichen. Auf S. 31 ist mit schwarz-brauner Tinte eine Note korrigiert.",Vgl. GSA 60/D 102,,https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:191645,UR,,,,,62
,,R 422,Die Hunnenschlacht,H-Bn,ZR 1.531,V 1188,Orsz. Széchényi Könyvtár,Partitur,Dedikationsexemplar,,,,"HUNNEN-SCHLACHT | 11 ||

F.LISZT | Symphonische Dichtungen | für grosses Orchester. | PARTITUR. | N°1 [...] | ""11, Hunnen-Schlacht. (nach Kaulbach.) "" "" 7.50. [Pr.Mk.] [...] | Eigenthum der Verleger | Leipzig, Breitkopf & Härtel. | Eingetragen in das Vereinsarchiv. | EntSta.Hall",,,Breitkopf & Härtel,64766-4,Leipzig ,4035206-7,10160,,,,,,Plattendruck,HUNNENSCHLACHT.,"Orch (Picc, 2 Fl, 2 Ob, 2 Klar in B, 2 Fg, 4 Hr in F, 3 Trp in C, 2 Tpos, Bpos, Tb, Bck, Pk, Vl, Vla, Vlc, Kb)","Tempestuoso, Allegro non troppo",,,,,,"[J. von Végh 1051217458?] - | freundschaftlich | FL. | Februar, 79 | Budapest","Februar, 79 - | Budapest",1879-02-xx,Budapest,4008684-7,schwarze Tinte,,"50 Blatt (96 Seiten Notentext, 1 Titelseite, 2 Seiten Text, paginiert)",,,,,,,,,,,Dunkelbrauner Umschlag mit goldenen Lettern bedruckt,,"Geschenkvermerk und Datierung von Liszt auf dem Titelblatt, sonst keine Eintragungen.",,Wohl nur von Liszt beschriebenes Titelblatt interessant für Reproduktion,wird bestellt,DTie,,,,,63
,,R 477,Die Legende von der heiligen Elisabeth,D-WRha,201-909,NKG/2-48,"[K. Goepfart 116705221], Hochschule für Musik Franz Liszt Weimar Wissenschaftliche Sammlungen und Archive",Partitur,,,,,Die Legende | von der | heiligen Elisabeth. | Oratorium | von | F. Liszt.,,Seiner Majestät | Ludwig II. | König von Bayern | in dankbarer Ehrfurcht | Franz Liszt.,C. F. Kahnt ,107297469X,Leipzig ,4035206-7,1156,,,,,100 Blatt,,"Die Legende | von der | heiligen Elisabeth. | Oratorium | nach Worten von | Otto Roquette | componirt von | Franz Liszt. | Klavier-Auszug. | Pr. Mk. 12 netto. [...] | Eigenthum des Verlegers. | Leipzig, bei C. F. Kahnt. | Dritte Auflage.",,,,,,,,"Handexemplar von | Meister | Liszt. (Mit Correcturen von seiner Hand, auf Seiten: | [S: 4, 5, 41, 42, 44, 48, 49, 109,138,] | Geschenk von | Ihm | (1885) | an | [K. Goepfart 116705221].",1885,1885-xx-xx,,,"rote und schwarze Tinte, blauer Stift","[Karl Goepfart 116705221] (schwarze Tinte), zS? (blauer Stift)","100 Blatt (Einband, Schmutztitel, 1 Titelseite, 194 Seiten Notentext, 1 Seite Text, paginiert)","Hochformat, 271 x 190 mm, 10-14 Notenzeilen",,,,,,,,,,,,"Liszts Eintragungen betreffen Fingersätze (S. 4/5, 48), Notenkorrekturen (S. 41, 44, 109, 138) und Dynamik (S. 49). Ferner finden sich auf den S. 24/25, 31, 38/39 Markierungen (Kreuze) mit blauem Stift und auf S. 42 2 offene, eckige Klammern mit roter Tinte.
Der Geschenkvermerk ist von Karl Goepfart mit schwarze Tinte geschrieben.",,"Besetzung angeben: Soli, Chor, Kl",könnte man das besorgen?,UR,,,,,64
,1001309606,R 591b | S 273/2 | N5,Die Loreley,D-WRgs,GSA 60/D 42,"Ms D, 42",,Partitur,Korrekturabzug,,,,,,,A. M. Schlesinger,1073054446,Berlin ,4005728-8,S. 2822,,,,,S. 3-9,Plattendruck,DIE LORE LEY | von | F. LISZT. | Für MEZZO-SOPRAN.,"Mez, Kl",,,Deutsch,Ich weiss nicht was soll's bedeuten,,,,,,,,"schwarze und rote Tinte, Rötel",,"4 Blatt zu 2 Bogen (8 Seiten Notentext, 1 Leerseite, paginiert)","Hochformat, 328 x 279 mm, 11-12 Notenzeilen",,,,,,,,,,,,"Korrekturauszug aus dem ""Buch der Lieder, Nr. 1"". Liszt notiert mit schwarzer Tinte über dem Liedtitel auf S. 3: ""Bitte 2t Corr | FLiszt [?]"". Er korrigiert mit Rötel und violett-roter Tinte im Notentext und notiert die Korrekturen zusätzlich am Rand. Die Korrekturen betreffen einzelne Noten und Vorzeichen, Dynamik und Phrasierung.",,,https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:191404,UR,,,,,65
,,R 577b,Die tote Nachtigall,D-WRgs,GSA 60/Dep. H 13,,,Partitur,korrigierter Druck,,x,,,,,C. F. Kahnt ,107297469X,Leipzig ,4035206-7,2204,,,,,S. 7-10,Plattendruck,Die todte Nachtigall.,"Singst, Kl",Andantino,,Deutsch,Du arme kleinen Nachtigall,,,,,,,,,,S. 7-10 (von 32 Blatt),,,,,,,,,,,,,"Die Stimmbezeichnung ""Singstimme"" ergänzt Liszt mit dem Zusatz ""(Sopran)"" (rote Tinte). Am Ende des Liedes ergänzt der den Namen des Textdichters, [Ph: Kaufmann 116076844] für Philipp Kaufmann.",,,https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:210999,BV,,,,,66
,,R 577,Die tote Nachtigall,D-WRgs,GSA 60/D 99,,,Partitur,Korrekturabzug,,x,,,,,C. F. Kahnt ,107297469X,Leipzig ,4035206-7,3197,,,,,S. 7-10,Plattendruck,La mort du Rossignol. | Der Todten Nachtigall.,"S, Kl",Andantino,,Französisch | Deutsch,"Ah pauvre, pauvre rossignol | Du arme kleine Nachtigall",,,,,,,,,"zS (Bleistift), zS (sepia Tinte)",S. 7-10 (von 36 Blatt),,,,,,,,,,,,,"Auf S. 8 ist mit brauner Tinte für den französischen Liedtext eine Note eingefügt und mit Bleistift der Rhythmus korrigiert. Am Rand steht dazu mit Bleistift in Kurrentschrift geschrieben: ""umgekehrt!"". Unten auf der Seiten wird mit brauner Tinte eine Punktierung ergänzt.",Vgl. GSA 60/D 102,,https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:191645,UR,,,,,67
,1001338698,R 425 | S 108 | G12,Eine Faust Symphonie,D-WRgs,GSA 60/A 14b,Ms A 14|b,Liszt-Museum Weimar,Partitur,Korrekturabzug,,,,,,,J. Schuberth & Co.,5330993-5,,,2646,,,,,S. 3-328,Plattendruck,FAUST. $ GRETCHEN. $ MEPHISTOPHELES.,"T, MCh (TTB), Orch (Picc, 3 Fl, 2 Ob, 2 Klar in C und A, 2 Fg, 4 Hr in F, 3 Trp in F, 2 Tpos, Bpos, Tb, Hrf, Bck, Pk, Vl, Vla, Vlc, Kb), Harm/Org","Lento assai $ Andante soave $ Allegro vivace, ironico $ Andante mistico",,Deutsch,Alles Vergängliche ist nur ein Gleichnis,"Titel handschriftlich auf einem runden gelben Aufkleber mit schwarzbrauner Tinte geschrieben und auf den dunkelbraunen Einband der Partitur geklebt: Eine Faust | Symphonie. | in drei Charakterbildern: Faust, | Gretchen, Mephistopheles und | Chorus mysticus für grosses | Orchester von | Franz Liszt. | Poss.[ession] A. W. Gottschalg. ",,,(Im Jahre 1857),1857-xx-xx,Weimar,4065105-8,"schwarze und rote Tinte, roter und blauer Stift, Rötel, Bleistift","zS (schwarze Tinte, roter und blauer Stift, Rötel, Bleistift), [Alexander Wilhelm Gottschalg 116794526] (rote Tinte)","164 Blatt (Einband, Vorsatz, Schmutztitel, 327 Seiten Notentext, 1 Leerseiten, paginiert)","Hochformat, 251 x 178 mm, 16-18 Notenzeilen und 2 Notenlinien; Überklebung S. 64a, Querformat, 86 x 164 mm, 7 Notenzeilen, handrastriert; gelöste Überklebung S. 208a, Querformat, 36-39 x 105-110 mm, 1 Notenzeile, handrastriert; Überklebung S. 304a, Querformat, 30 x 260 mm, 1 Notenzeile, handrastriert; Überklebung S. 305a, Querformat, 22 x 170 mm, 1 Notenzeile, handrastriert",,,,,,,,,,durchstochene Leerseiten sind zusammengeklebt,,"Korrekturabzug mit vielen Eintragungen von fremder Hand und je nach Satz wenigen oder vielen Korrekturen von Liszt selbst. Diese beziehen sich zumeist auf Vorzeichen, Tonbuchstaben oder Artikulation. Gravierende Eingriffe und Korrekturen des Notentextes liegen nicht vor, letzterer entspricht auch demjenigen der gedruckten Partitur in der GA. 
Der Einband ist beschädigt (?) an der oberen Kante schwarz, ab der schwarzgrüne ""Lederoptik"" [S. 1 und 336]. Bevor der Druck beginnt Vermerk auf dem Schutztitel [S. 5/6], auf dem Gottschalg mit roter Tinte folgende Bemerkung geschrieben hat: ""NB. | Die roth angestrichenen Correkturen sind | von Dr. Franz Liszt. (Im Jahre 1857) | Weimar, 1884. AWGottschalg.""
1. Satz: Von Liszt finden sich auch einige wenige Korrekturen mit blauem [S. 97, 133] und braunem [S. 106] Stift, schwarzer Tinte [S. 115 und 127] die aber aufgrund fehlender graphologischer Indizien nicht immer zweifelsfrei zu identifizieren sind. Auf [S. 119] Korrektur der Seitenzahlen mit Bleistift (115 statt 117). Der Druck weist zudem einige Hervorhebungen mit roter Tinte (im Digitalisat purpurn/violett erscheinend) auf, die von Liszt stammen (s. Bemerkung von Gottschalg zu Beginn der Partitur, Bsp. auf [S. 127]). 
2. Satz: Liszt schreibt, quer zum Druck groß mit blauem Stift folgende Bitte: ""Bitte mir dieselben Correcturen | mit den nächstfolgenden | zurückzuschicken - | FLiszt"". Notation zweier Bassschlüssel mit Rötel auf [S. 155], mit Bleistift auf [S. 176]. Aufgrund des Verlaufens und Verblassens der Tinte auf dem Druckpapier lassen sich manche Anmerkungen von Liszt nur schwer lesen, sie beziehen sich allesamt jedoch auf eine Korrektur/Spezifizierung von Tonhöhen. Im zweiten Satz sind die Korrekturen bzw. Anmerkungen von Liszt jedoch wesentlich häufiger anzutreffen. 
3. Satz: Von Liszt finden sich ebenfalls viele Korrekturen mit rotem, blauem, Rötel und Bleistift. Als """"Hauptschreibstoff"""" dient Liszt jedoch der blaue Stift - dem zS eher roter Stift und schwarze Tinte. Zudem fügt Liszt sporadisch, dann aber häufig mit blauem Stift, Instrumentenbezeichnungen hinzu. Aufgrund des Verlaufens und Verblassens der Tinte auf dem Druckpapier lassen sich manche Anmerkungen von Liszt nur schwer lesen, sie beziehen sich allesamt jedoch auf eine Korrektur/Spezifizierung von Tonhöhen. Die Häufigkeit der Eintragungen Liszt ist im dritten Satz weitaus höher als in den beiden vorangegangenen und übertreffen Quantitativ diejenigen des zS bei Weitem. Liszts Markierungen mit roter Tinte (s. Bemerkung Gottschalgs) dienen zur Hervorhebung der jeweiligen Korrekturen. 
Gelöste Überklebung von drei Takten mit autographer Korrektur von Liszt auf [S. 212]: ""3 Takte Cellis Seite 208"". Die Harfe wirf mit rotem Stift auf [S. 296] und [298] explizit hervorgehoben, die Überleitung zum Schlusschor beginnt dann ab [S. 299]. Auf der folgenden Seite [300] sind die beiden Takte nach Zz voneinander getrennt, in die Lücke notiert Liszt quer dazu mit blauem Stift: ""Die Anmerkung wie sie in der Partitur steht"". Es handelt sich dabei um die Anbindung der Schlusstakte, sollte bei einer Aufführung der Chor weggelassen werden (s. Partitur GA, S. 182). Entsprechend ""Fine"" auf [S. 298].
4. Satz: Auf [S. 308] findet sich der Hinweis mit Rötel von Liszt, ""Vide Correctur Blatt -"". Auf den beiden Seiten [308/309] befinden sich oben zwei Überklebungen mit autographen Korrekturen der Solo-Tenorstimme, ""Seite 304 - das ewig Weibliche"". Auf [S. 309] auch Korrektur des Textes bzw. der Zuordnung desselben. Es ist davon auszugehen, dass es sich bei dem ""Correctur Blatt"" um die Überklebungen handelt (?oder?). Auf [S. 317] Hinweis von Liszt mit schwarzer Tinte, ""Die Prosodie | des Ewig | wie | Seite 304"". Die entsprechenden Noten sind (verwaschen) wohl autograph hinzugefügt [S. 317/318]. Selbes analog zum ""Weibli"" auf [S. 319/320].
In dem Schlusschor finden sich fast nur noch Korrekturen und Hinweise von Liszt. Die Hinweise mit Tinte zwischen Liszt und zS sind an der Intensität des ""Schwarz"" gut voneinander zu unterscheiden (Bsp. [S. 323]). Der Schluss der Komposition ist mit Rötel mit ""Ende"" gekennzeichnet. ",beiliegen: nicht signierte Visitenkarte von Liszt,"Aufteilung in dem Probedruck unterscheidet sich von der der Partitur GA: im ersteren sind die Stricher nach Vl und Vla geteilt und es folgen die Vokalpartien sowie die Orgel, bevor unten die Bässe die Partitur abschließen. In der GA ist der Streichersatz kompakt beisammen gehalten. ",https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:190365,DTie,,,,,69
,,R 369 (425),Eine Faust Symphonie (Endfassung),D-WRgs,GSA 60/W 12b,Ms W 12b,Liszt-Museum Weimar,Partitur,korrigierter Druck,,,,"Eine | FAUST-SYMPHONIE | in | drei Charakterbildern | (nach Göthe) | I.Faust (Allegro) II.Gretchen (Andante) | III.Mephistopheles (Scherzo u. Finale mit Schluss Chor), | ""Alles Vergängliche ist nur ein Gleichniß"" | componirt von | FRANZ LISZT.",,,J. Schuberth & Co.,5330993-5,Leipzig | New York,4035206-7 | 4042011-5,2683,C. G. Röder,,7 rf.,,"Umschlag, Titelseite, S. 3-77",Plattendruck,1. | Faust. $ 2. | Gretchen. $ 3. | Mephistopheles. ,"T, MCh (TB), 2 Kl","Lento assai $ Andante soave $ Allegro vivace, ironico",,Deutsch,Alles Vergängliche ist nur ein Gleichnis,"Liszt streicht auf dem Umschlag mit rotem Stift die Tempoangaben und ergänzt ""für grosses Orchester und Männerchor"". Analog erfolgt dies mit blauem Stift und schwarzer Tinte auf der Titelseite. ",,,Rom 63.,1863-xx-xx,,[4050471-2],"schwarze Tinte, blauer Stift, Rötel",Dr (Bleistift),"41 Blatt (Umschlag, 1 Titelseite, 75 Seiten Notentext, 3 Leerseiten, paginiert)","Hochformat, 332 x 260 mm, 12-18 Notenzeilen",,,,,,Hector Berlioz (Widmungsträger),,,,graublaue bedruckte Umschlagseite: bei Eintritt des Männerchors werden die Systeme um zwei Zeilen erweitert,,"Auf dem Umschlag schreibt Liszt schreibt mit Rötel über den Titel: ""Correctur Exemplar | F. Liszt | Rom 63."" Statt ""Edition"" schreibt er ""Arrangement"". Quer mit blauem Stift Stechervermerk: ""Stich Corrigirt | O & B "" Am unteren Seitenende schwach mit Bleistift vom Drucker [?}: ""ob diese rothen Anderungen noch von mir xxx | gemacht werden. DS [?]""
Transkription von Liszts Annotationen auf dem Titelblatt: ""Die musikalischen | Tempo Bezeichnungen | passen nicht zu dem | Werk wo der | Tempo Wechsel | eine so flagrante | Thatsache. | Weg also mit dem Gries Gram! [??]
Unter dem Zitat ist hinzugefügt ""+ für grosses Orchester und Männerchor + ""

Auf der Titelinnenseite von fremder Hand handschriftliche Widmung mit blauem Stift (zS oder Dr): ""Hector Berlioz | gewidmet"". Bezieht sich auf Ausgabenebene (Druckwidmung), ist kein Geschenkvermerk.

Strich der Bezeichnung ""Vollständige Orchester Partitur"" und langes NB: ""Diese Bezeichnung ist eine | missliche equivoque - denn | es handelt sich hier nicht | um die vollständige OrchesterPartitur /, | wohl aber ausschliesslich | um die Ausgabe für | 2 Piano-forte. Warum also | nicht die richtige | und aufrichtige Betitelung | der übrigen Symphonischen | Dichtungen (bei Breitk. und Härtel) | beibehalten ""Arrangement | ""für 2 Pianoforte vom Componisten | oder dieselbe dahin zu ändern ({""Ausgabe für 2 Pianofortes | ""vom Componisten eingerichtet"" | wogegen ich nichts einzuwenden have. | Rom 63. F. Liszt"" Dazu ein weiteres Nota Bene unter ""Edition für 2 Piano-Forte (2 Spieler) [letzteres von Liszt unterstrichen und mit zwei ""!!"" versehen]: ""Die Anzeige der ""vollständigen Orchester Partitur | müsste eigentlich an die Stelle der ""Edition | ""für 2 Pianoforte"" gestellt sein, wenn eine | solche Anzeige auf dem Haupt Titel dem | Verleger angemessen erscheint."" Ganz oben auf der Seite Eintrag des Druckers mit Bleistift: ""all diese Anderungen [?], habe ich beachtet, siehe | auf d Umschlag
1. Satz: Liszt nimmt zahlreiche Eintragungen sowohl im Notentext als auch am Korrekturrand vor, sowohl mit blauem als auch mit rotem Stift. Es handelt sich hauptsächlich um hinzugefügte Pedal- und Spielvorschriften, Phrasierung, aber auch um Vorzeichenkorrekturen und Fingersätze. Die schwarze Tinte, die Liszt verwendet, färbte sich aufgrund des Papiers wie bei den Annotationen zum zweiten Titelblatt bräunlich. Auf S. 10 verwendet Liszt die ungebräuchliche Vorschrift ""flebile"" (kläglich, schwach). Liszt korrigiert auch den Notentext (siehe S. 11-15), hier jedoch nur einzelne Noten oder Akkorde. Auch auf die Optik des Notentextes legt er wert, so schreibt er die Oktavierung auf S. 15 (Secondo, 3. System, 1. Takt) aus mit dem Kommentar: ""besser | [Notenbeispiel wie es sein soll] | 8tava für | einen einzelnen | accord sieht | schlecht aus."" S. 25 sehr aufwändig mit blau und rot markiert, ""NB diese 2 Punkte zu g müssen weg!"". Liszt korrigiert auch die Spielvorschriften, so auf S. 23 mit blauem Stift: ""grazia | nicht | 'grazioso'"" und S. 28 mit Tinte, ""Violente | nicht violento"". 
2. Satz: Liszt nimmt zahlreiche Eintragungen sowohl im Notentext als auch am Korrekturrand vor, sowohl mit Tinte als auch mit blauem und rotem Stift. Die Art der Redaktion ist wie beim Faust-Satz, allerdings verwendet Liszt hier hauptsächlich Tinte als Schreibstoff. Der blaue Stift kommt ebenfalls häufig zum Einsatz, viel seltener hingegen der rote Stift. Die Zusätze betreffen nahezu ausschließlich Phrasierung und Pedalisierung. Notentext wird nur an vereinzelten Stellen korrigiert. S. 43 Hinweis mit Tinte: ""Viertel | Note- | nicht Achtel. (ganz dasselbe | wie im | 4ten Takt | dieser Zeile)"".
3. Satz: Liszt nimmt zahlreiche Eintragungen sowohl im Notentext als auch am Korrekturrand vor, sowohl mit Tinte als auch mit blauem und rotem Stift. Zu Beginn wird v.a. der blaue Stift verwendet. Die Eintragungen erfolgen analog zu den beiden vorigen Sätzen, also insbesondere Pedalisierung und Phrasierung, dazu Korrektur weniger Einzelnoten oder Akkorde. Anmerkung auf S. 56 mit rotem Stift: ""+ giocoso | anstatt | grazioso! | was hier | stupend lächerlich | erscheint."" Korrekturdruck ist am Ende signiert und datiert (S. 71): ""F. Liszt | Rom 63."".
Schlusschor: Liszt nimmt zahlreiche Eintragungen sowohl im Notentext als auch am Korrekturrand vor, sowohl mit Tinte als auch mit blauem und rotem Stift. Die Eintragungen erfolgen analog zu den beiden vorigen Sätzen, also insbesondere Pedalisierung und Phrasierung, dazu Korrektur weniger Einzelnoten oder Akkorde. Auf S. 73 schreibt er groß mit rotem Stift: ""muss corrigirt werden!"" Dies Bezieht sich auf den Text ""-wig Weibliche"" sowie die Noten im Tenor. Auch weitere Korrekturen beziehen sich auf die Textierung (so auf S. 75).","Wenn Liszt Noten korrigiert, schreibt er auch die Tonbuchstaben mit auf. Da Liszt drei Schreibstoffe verwendet hat, ist davon auszugehen, dass er den Probedruck dreimal durchgesehen hat. Eine Chronologie lässt sich zumindest am Digitalisat nicht ausmachen.",,https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:209658,DTie,https://haab-digital.klassik-stiftung.de/viewer/image/4205391145/8/#topDocAnchor,,,,70
,,R 539,Einleitung,D-LEsta,"21069 C. F. Kahnt, Nr. 243",,,Partitur,Korrekturabzug,,x,,,,,,,,,1711,,,,,,Plattendruck,,Kl ,,,,,,,,,,,,,,S. 3 (von 37 Blatt),,,,,,,,,,,,,"Es handelt sich hier um die dreizehntaktige Einleitung, keine Eintragungen oder Korrekturen von Liszt.",,,wird bestellt,DTie,,[ca. 1875],"Datierung aus HAAB, L 1829 [d]",,71
,,R 629,Einst,D-WRgs,GSA 60/Dep. H 13,,,Partitur,korrigierter Druck,,x,,,,,C. F. Kahnt ,107297469X,Leipzig ,4035206-7,2204,,,,,S. 18,Plattendruck,Einst.,"Singst, Kl",Allegretto,,Deutsch,Einst wollt' ich einen Kranz dir winden,,,,,,,,,,S. 18 (von 32 Blatt),,,,,,,,,,,,," Am Ende des Liedes ergänzt der den Namen des Textdichters, [F. Bodenstedt 118512293] für Friedrich Bodenstedt (sepia Tinte).",,,https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:210999,BV,,,,,72
,,R 629,Einst,D-WRgs,GSA 60/D 99,,,Partitur,Korrekturabzug,,x,,,,,C. F. Kahnt ,107297469X,Leipzig ,4035206-7,3197,,,,,S. 18,Plattendruck,Les fleurs. | Einst.,"Singst, Kl",Allegretto,,Französisch | Deutsch,"Jadis, voulant et faire offrande | Einst wollt' ich einen Kranz dir winden",,,,,,,,,zS (sepia Tinte),S. 18 (von 36 Blatt),,,,,,,,,,,,,Auf S. 16 ist mit brauner Tinte der abgekürzte Vorname des Textautors von J. zu F. korrigiert.,Vgl. GSA 60/D 102,,https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:191645,UR,,,,,73
,,R 471a,"Élégie I für Violoncello, Klavier, Harfe und Harmonium",D-WRgs,GSA 60/X 7,,,Partitur,unkorrigierter Druck,,,,,,,C. F. Kahnt ,107297469X,Leipzig ,4035206-7,1828,Stich und Druck von F. W. Garbrecht in Leipzig, 10369896-6,,,S. 3-11,Plattendruck,ÉLÉGIE.,"Vlc, Hrf, Harm, Kl",Andante,,,,,,,,,,,,,"6 Blatt (Fadenheftung, 9 Seiten Notentext, 1 Leerseite)","Hochformat, ??? x ??? mm",,"2000-xx-xx, [Musikantiquariat Hans Schneider 2012964-6]",,,,,,,,,,Der Druck enthält keine handschriftlichen Einträge.,,,https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:333546,BV,,,,,74
,,,Élégie Nr. 1,H-Bami,Fond 6/38,C-989/75,Mta Zenetudományi Intézet,Partitur,Korrekturabzug,,,,,,,C. F. Kahnt,107297469X,Leipzig,,1830,,,,,,Plattendruck,ÉLÉGIE.,Kl,Andante,,,,"Liszt schrieb ""Piano solo"" mit Bleistift auf den Umschlag",,,,,,,"schwarze Tinte, roter und blauer Stift",,"4 Blatt zu 2 Bogen (1 Titelseite, 6 Seiten Notentext, 1 Leerseite, paginiert)","Hochformat, 278 x 192 mm",,,,,,,,,,Plattenabdrücke sind rechteckig und der Druck wurde in der Mitte gefaltet aufbewahrt,,"Sorgfältige Korrektur des Probedrucks durch Liszt, der viele Eintragungen, Korrekturen von Tonhöhen und Vorzeichen, Bindebögen sowie una / tre corda-Anweisungen enthält. Der erste Durchgang erfolgte wohl mit dem roten Stift - zu höherer Deutlichkeit schrieb Liszt das meiste seiner Eintragungen am jeweiligen Rand noch einmal hin (meist mit schwarzer Tinte). Ein mutmaßlich zweiter Durchgang mit blauem Stift konzentrierte sich hauptsächlich auf eine weitere una / tre corda-Vorschrift (S. 5u bis 6 ob) sowie Pedalweisungen und die Korrektur des Penultima-Klannge (""b zu | Fes""). ",,,wird bestellt,DTie,,,,,75
,1001352502,R 571b | S 283/2 | N24/2,"Enfant, si j'étais roi",D-WRgs,GSA 60/D 101,,,Partitur,korrigierter Druck,,x,1001352494,,,,C. F. Kahnt ,107297469X,Leipzig ,4035206-7,706,,,,,S. 16-20,Plattendruck,"""ENFANT SI J'ÉTAIS ROI""","T, Kl",Quasi Allegro moderato,,Französisch | Deutsch,"Enfant si j'étais Roi | Mein Kind, wär' ich König",,,,,,,,,"zS (rote Tinte), Dr (Bleistift)",S. 16-20 (von 11 Blatt),,,,,,,,,,,,,"Im gesamten Notentext sind von zS zahlreiche Textkorrekturen mit rosa-roter Tinte eingetragen, dazu vermerkt Dr mit Bleistift oben auf jeder Seite ""Corr"". Der Notentext enthält keine Korrekturen von Liszt.",,,https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:191649,UR,,,,,76
,,,Es segne uns Gott,D-WRgs,GSA 60/Z 3,,,Partitur,,,x,,,,,,,,,,,,,,,Lithographie,Es segne uns Gott.,"GCh (SATB), Org",Nicht schleppend,,Deutsch,Es segne uns Gott unser Gott,,,,,,,,,,S. 10-11 (von 10 Blatt),,,,,,,,,,,,,,,,https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:209825,BV,,,,,77
,1001309655,R 594b | S 278/2 | N 9/2,Es war in König in Thule,D-WRgs,GSA 60/D 45,"Ms D, 45",,Partitur,Korrekturabzug,,,,,,,A. M. Schlesinger,1073054446,Berlin ,4005728-8,S. 2825,,,,,S. 3-7,Plattendruck,"""ES WAR EIN KÖNIG IN THULE"" | von | F. LISZT. | Für MEZZO-SOPRAN oder TENOR.","Mez/T, Kl",Allegretto,,Deutsch,Es war ein König in Thule,,,,,,,,schwarze und rote Tinte,,"3 Blatt zu 1 Bogen und 1 Einzelblatt (5 Seiten Notentext, 1 Leerseite, paginiert)","Hochformat, 318-328 x 276 mm, 11-12 Notenzeilen, oben abgeschnitten",,,,,,,,,,,,"Liszt notiert mit schwarzer Tinte über dem Liedtitel auf S. 3: ""Bitte 2t Corr | FL [?]"". Er korrigiert mit violett-roter Tinte im Notentext und notiert die Korrekturen zusätzlich am Rand. Die Korrekturen betreffen einzelne Noten, Vorzeichen, Notenschlüssel (S. 7, letzte Zeile), Phrasierung und Pedalisierung. ",,,https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:191437,UR,,,,,78
