"(Verknüpfung)
Identifier | Nr.",RISM ID no.,WVZ-Nr. (R | S | E/M),"Titel (normiert, nach MGG)",Bestandeshaltende Institution,"Signatur, neu","Signatur, vormalig",Besitzvermerk (intern),Ausgabeform (Typ),Funktion,Übergeordnete Quelle,Untergeordnete Quelle,RISM-Nr. der übergeordneten Quelle,Titelei Umschlag oder Titelblatt,Autor Titelei (Liszt egh.),Kopftitel,Autor Kopftitel (Liszt egh.),Besetzung (normiert),Tempoangabe (normiert),Metronomangabe,Sprachcode,Text-Incipit (diplomatisch),Widmung (diplomatisch),Datierung (diplomatisch),Datierung (maschinenlesbar),Ort (normiert),GND-Nr. Ort,Schrift (Liszt egh.),Schrift (fremder Hand),Umfang,Papiermaß,Wasserzeichen (intern),Verlag (normiert),Bezug zu Druck: Verlags-GND-Nr.,Bezug zu Druck: Plattennr.,Provenienz Station 1,Provenienz Station 2,Provenienz Station 3,Provenienz Station 4,Datierung ermittelt (maschinenlesbar),Ort ermittelt (normiert),Ort ermittelt GND-Nr.,Beschreibung physischer Merkmale,Inhalt,"Notizen zur Quelle (vormals ""Beschreibung"", bleibt intern)",Kommentar zur Quelle (intern),Kommentar intern / Fragen (interne Kommunikation),Digitalisat,Bearbeiter,"Weiterführende Informationen (Ausgaben, Permalinks etc.) (intern)",Quellenautorität (für die Abbildung der Reiterstruktur in der Datenbank),Schreiber Umschlag/Titelblatt Bezug zu O,Schreiber Kopftitel Bezug zu Q,Schreiber zu AB gehörig bitte mit Information in AC kombinieren 
,,R 508 | S 19 | J2,Hymne de l'enfant à son réveil,H-Bn ,Ms. mus. 4.050,V 921/2059/1966,Oszk lelt. Zenemütár,Partitur,,,,,,,Hymne de l'enfant à son reveil | (Harmonies | religieuses et | poétiques de Lamartine,,,,,Italienisch,Oh! Padre dal Padre adorato tu di gioja ,,Janvier 65,1865-01-xx,,,"schwarze und sepia Tinte, roter Stift, Bleistift",,"6 Blatt zu 3 Bogen (Einband, 11 Seiten Notentext, 1 Leerseite)","Hochformat, 350 x 270 mm, 12 Notenzeilen, handrastriert",,,,,,,,,,,,"guter Zustand, Blätterspuren, Bögen sind mit Klebstreifen an der linken Außenkante verstärkt
in einem blauen Ledereinband mit goldenem Rahmen eingebunden (361 x 282 mm), Portrait von Liszt auf der Innenseite des Einbands, 1 dünnes Blatt Schutzpapier vorne, starker Karton, an den beiden Außenseiten tiefblau gefärbt hinten; auf dem blauen Einband befindet sich ein kreisrunder (Glas)Abdruck",,"Relativ saubere Abschrift mit schwarzer Tinte (Musik und Text), wenig Rasuren und Zusätzen wie Titel und der Hinweis ""accompagnamento tacet"" offenbar nachträglich mit brauner/sepiafarbener Tinte eingetragen. Die scheint auch für die Begleitung im Harmonium zu gelten, deren Tinte ist deutlich ""braun"", während die Gesangsstimmen in kräftigen schwarz notiert sind. Auf S. 4 Korrektur des Textes mit Bleistift sowie Ergänzung der Generalvorzeichnung mit 3# zu Beginn des zweiten Systems. Auf S. 5 ein Hinweis mit (sepiafarbener) Tinte: ""(NB Pour ces [weiter zwischen beiden Systemen] seize mesures, il faudrait d'autres vers plus conformer au texte original!)"" S. 7 Strich des ersten Takts im zweiten System. Weiterer Hinweis auf S. 9 zwsichen den Systemen mit brauner Tinte: ""(Ici aussi il vaudrait mieux trouver d'autres vers! et réverser ceux-ci pour le Solo qui suit)"". Die Wiederholung auf der letzten Seite 11 ist entsprechend mit doppelten Klammern versehen, nach dem Doppelstrich folgen Signatur und Datierung. Der rote Stift dient ausschließlich zur Paginierung der Quelle.",,"Titelei: Den Inneneinband ziert eine Reproduktion der berühmten Photographie von Ernst Hanfstaengl, Paris 1866, die Liszt als Abbé und weitem Umhang in ""Feldherrenpose"" zeigt (316 x 249 mm) 

Kopftitel: ""religeuses et"" ist nachträglich eingeschoben, wurde offensichtlich vergessen

Besetzung klären: S oder A [zu klären], FCh (SSA), Harm",wird bestellt (100 Huf pro Scan),DTie,Vgl. Kecskeméti 1971. ,,,,Franz Liszt,
,,R 509 | S 63 | J46,In Domum Domini ibimus (Psalm 121),H-Bn ,Ms. mus. 7.068,Sz 448/80/1980,Orszszéchényi Könyvtár,,,x,,,,,In Domum Domini ibimus,,,,,,,,,,,,"schwarze und rote Tinte, blauer und roter Stift, Bleistift","zS (schwarze Tinte, blauer Stift)",3 Blatt (6 Seiten Notentext),"Hochformat, 348 x 266 mm, 12 Notenzeilen, gedruckt (?)",,,,,,,,,,,,"eingefasst in einer braunen Ledermappe mit zwei Lederschnüren zum Zubinden, 360 x 285 mm)",,"Die Signatur beinhaltet eine Sammlung aus den Autographen Chor und Blechbläser mit Pauke sowie die korrigierte Abschrift; darüber hinaus beinhaltet sie das Arbeitsmanuskript zum ""Präludium"" sowie die korrigierte Abschrift desselben; alles ist in einer braunen Ledermappe zusammengefasst","Schreiber der Abschrift ist derselbe wie von ""La Notte"" im Musikwissenschaftlichen Institut, Fond 6/47",,wird bestellt (100 Huf pro Scan),DTie,,,,,Franz Liszt,
,,R 509 | S 63 | J46,In Domum Domini ibimus,H-Bn ,Ms. mus. 7.068a,Sz 448/80/1980,Orszszéchényi Könyvtár,Chorpartitur,,,x,,,,In Domum Domini ibimus,,GCh (SATB),,,Lateinisch,In domum Domini Ibimus,,,,,,"schwarze Tinte, blauer Stift",,Blatt 1r-2v (von 3 Blatt),,,,,,,,,,,,,Blätter an den Ecken leicht verunreinigt,,"Saubere Abschrift des Chorsatzes mit einigen Rasuren. Noten und Text sind mit schwarzer Tinte geschrieben, mit blauem Stift fügte Liszt seine Anmerkungen, sie Paginierung und Korrekturen hinzu. So gleich zwischen den beiden System auf S. 1: ""Orgel Trompetten, Posaunen, Pauken. Orgel"" Dieser Hinweis mag auf das separate Blatt (H-Bn Ms. mus. 7.068b) hindeuten, dort fehlt allerdings die Orgelstimme. Strich auf S. 4 der zwei letzten Takte im dritten System sowie der vier ersten im vierten System mit blauem Stift, dazu Bis-Hinweis und Taktziehung bei dem aufsteigenden schließenden Dreiklang. ",Die korrigierte Abschrift des gesamten Stücks befindet sich unter der Signatur H-Bn Ms. mus. 7.068c,,wird bestellt (100 Huf pro Scan),DTie,,,,,Franz Liszt,
,,R 509 | S 63 | J46,In Domum Domini ibimus,H-Bn ,Ms. mus. 7.068b,Sz 448/80/1980,Orszszéchényi Könyvtár,Stimme,,,x,,,,In Domum Domini ibimus,,"2 Trp, 2 Pos, Pk",,,,,,,,,,"schwarze Tinte, blauer Stift",,Blatt 3r-3v (von 3 Blatt),,,,,,,,,,,,,Blatt an den Ecken leicht verunreinigt,,"Das separate Blatt weist die auf dem Chorsatz (H-Bn Ms. mus. 7.068a) angezeigten Instrumente auf: ""2 Trompetten | in Es | 2 Posaunen | Paucken| Es, b."" Auch hier weist die Reinschrift relativ viele Rasuren auf. Mit einem blauen Kreuz wird einmal auf die Umstimmung der Pauke (""B auf C stimmen"") unten auf Blatt 1r sowie auf die Bis-Vorschrift unten auf Blatt 1v hingewiesen. ",Die korrigierte Abschrift des gesamten Stücks befindet sich unter der Signatur H-Bn Ms. mus. 7.068c,,wird bestellt (100 Huf pro Scan),DTie,,,,,Franz Liszt,
,,R 509 (?),[Zur Kirche! Präludium,H-Bn ,Ms. mus. 7.068/2a,Sz 448/80/1980,Orszszéchényi Könyvtár,Partitur,,,x,,,,"Zur Kirche! | Präludium | En français | ""à l'Eglise | Prélude | FL",,Org/Kl,Lento assai,[Viertel] = 72,,,,,,,,"schwarze und rote Tinte, blauer und roter Stift, Bleistift",,"4 Blatt zu 1 Bogen und 2 Einzelblatt (7 Seiten Notentext, 1 Leerseite, teilpaginiert)","Hochformat, 348 x 266 mm, 12 Notenzeilen, gedruckt (?)",,,,,,,,,,,,Papier weist Lagerungsspuren auf und ist am Rand leicht abgewetzt,,"Eines der wohl am stärksten redigierten Arbeitsmanuskripte Liszts überhaupt, das beide Fassungen für Klavier und Orgel zusammen beinhaltet. Zu Beginn scheint es als würde Liszt die Klavierstimme mit schwarzer, die Orgelstimme mit roter Stimme notieren, dieser Plan wird aber bereits auf S. 3 angesichts der massiven Streichungen wieder aufgegeben. Die Streichungen mit blauem oder rotem Stift, teilweise mit beiden, oder gar mit blauem, rotem Stift und Bleistift sind dabei so zahlreich, dass sie nicht einzeln aufgeführt zu werden brauchen; besonders beeindruckend sind hierbei S. 3 und [S. 5], Blatt 3r. Das Präludium scheint auf dem ersten Bogen notiert, die beiden Einzelblatt stellen Korrekturen zu diesem dar. S. 2 v.a. Vorzeichenkorrekturen mit hellroter Tinte und Ergänzung von Legatobogen, S. 3 ist mit Ausnahme der ersten vier Takte komplett gestrichen. Über dem ersten System findet sich mit schwarzer Tinte der Hinweis ""+ 6 Takte mehr"", der allerdings dick mit zinnoberrotem Stift gestrichen wurde, nachträglich aber mit einem Hinweis + versehen wurde. Auf S. 4 sind die Schlusstakte mit blauem Stift gestrichen und Liszt gibt den Hinweis, ""Vide 12 SchlussTakte"" - diese finden sich auf dem zweiten Einzelblatt (Blatt 4r), und sind mit blauem Stift auch als ""Schluss | Takte"" ausgezeichnet. Allerdings weisen sie ""nur"" 8 notierte Takte sowie mit den beiden Bis-Vorzeichnungen 14 Takte auf - dieser alternative Schluss ist aber ebenfalls mit rotem Stift gestrichen. Auf Blatt 3r scheint Liszt noch einmal neu begonnen zu haben, indem er einen alternativen Anfang (in Halben statt Vierteln) erwog, diesen jedoch verwarf und darunter den Beginn von S. 1 noch einmal darunter mit schwarzer Tinte notierte. Für einen Neubeginn spricht auch der später wieder mit rotem und blauem Stift sowie Bleistift wieder gestrichene zweisprachige Titel (dt/frz). Es handelt sich hier um die ""6 Takte zur Seite"" [schwarze Tinte, gestrichen], ""zur Seite 3"". Hier ist also der später wieder revidierte Einschub von S. 3 zu finden. Liszt überschrieb jedoch später die rote ""3"" mit einer blauen ""5"", womit er auf die Passage in der Abschrift (H-Bn Ms. mus. 7.068/2b) verweist! Der Notentext auf der Rückseite wurde nicht verworfen und besteht aus vollen Halben-Akkorden auf Blatt 3v, 1. System und in der folgenden Passage, die mit langen Tönen in den Außen- und bewegten Achtel-Wechselnoten in den Binnenstimmen ausgestaltet ist (Blatt 3v, unteres System-Blatt 4r, oberes System). Anschließend folgt Liszts Hinweis ""Weiter Seite | 4"", der auf dieser jedoch keine erkennbare Entsprechung findet (der Hinweis, wo dieser Abschnitt einsetzen soll, fehlt schlicht auf S. 4). Unklar ist, ob sich das mit rotem Stift geschriebene ""andere"" auf diese Passage, oder auf den verworfenen Alternativschluss bezieht.",Absolut konfuses und wildes Arbeitsmanuskript; Liszt fügt einen Querverweis auf die Abschrift ein! ,"Kopftitel: ""Prélude | FL"" sind mit roter Tinte, der Rest mit schwarzer geschrieben, alles bis auf FL jedoch gestrichen

Muss mit dem Druck abgeglichen werden, liegt mir nicht vor",wird bestellt (100 Huf pro Scan),DTie,,,,,Franz Liszt,
,,R 492a | S 16/1 | K6,"Psalm 129 [""Stanislaus-Fassung""]",H-Bn ,Ms. mus. 6.056,Sz 473/232/75,Orszszéchényi Könyvtár,Partitur,,,,,"Psalm 129. | ""De profundis clamavi"" | ""Aus der Tiefe Rufe Ich"" | für | eine Bass- oder Altstimme | und | Pianoforte- oder Orgelbegleitung | componirt von | Franz Liszt",,"De P $ Schluss des Oratoriums | ""St Stanislas"" | PSALM 129 | ""De profundis""",,"T, B, MCh (TB), Org/Kl",Lento,[Halbe] = 40,Lateinisch | Deutsch,"De profundis clamavi $ 
Aus der Tiefe rufe ich zu dir",,,,,,"schwarze und rote Tinte, roter und blauer Stift",,"11 Blatt zu 4 Bogen und 3 Einzelblatt (2 Titelseiten, 16 Seiten Notentext, 4 Leerseiten, teilpaginiert und foliiert)","Hochformat, 312 x 232 mm, 12 Notenzeilen, gedruckt; Bogen, Hochformat, 349 x 266 mm, 12 Notenzeilen, handrastriert; Einzelblatt, Hochformat, 335 x 251 mm, 12 Notenzeilen, handrastriert",,C. F. Kahnt,107297469X,2592,,,,,,,,"Eine Kompilation aus Druck und Manuskript, letztere sind etwas vergilbt und der Bogen weist an der oberen rechten Ecke einen großen braunen Fleck auf
Das Material ist in einem braunen Lederumschlag mit zwei Bändern, 386 x 280 mm eingefasst.","Arbeitsmanuskript unter Hinzunahme des Drucks

Liszt nutzt den Psalmdruck, um darauf das Schlussstück seines letzten Oratoriums ""Stanislas"" zu kreieren","Ein Zusammenspiel aus Materialökonomie und Effizienz. Liszt intendierte seit Oratorium ""Stanislas"" mit dem De-Profundis-Psalm zu beenden und adaptierte daher den Druck, den er mit handschriftlichen Erweiterungen ergänzte. 
Die Innenseite des inneren Titelblatts des Drucks ist ganzseitig überklebt (315 x 241 mm, 12 Notenzeilen, handrastriert). Hier notierte Liszt die ursprüngliche Einleitung. Mit roter Tinte sind Tempo ""Langsam: Metronom"" sowie die ""Lateinisch"" und ""Deutsch""e Sprachausgabe sowie ""Pianoforte"" geschrieben. Die Noten sind größtenteils mit schwarzer, der Text mit roter Tinte geschrieben, allerdings strich Liszt diese gesamte erste Seite mit zinnoberrotem Stift und schrieb darüber mit schwarzer Tinte, ""Anstatt der | gedruckten Seite 3 | (Psalm 129)"". Die Quelle setzt mit dem Bogen weiter fort, der nun die erweiterte Einleitung, notiert mit schwarzer Tinte, ""mezzoforte""-Vorzeichnung in roter Tinte, beinhaltet. Zum Ende des zweiten Systems sind vier Takte mit zinnoberrotem Stift gestrichen und darüber korrigiert. Auf Blatt 2v setzt nun der Männerchor ein, wobei die Lateinische Version mit schwarzer und die deutsche Version mit roter Tinte geschrieben sind. Die Orgel ist nur sporadisch mit einer Bassoktave (F-f) bzw. tacet-Vorschreibung versehen. Auf Blatt 3r löst nun die Orgel das Klavier mit der chromatisch Hochalterierten Wiederholung ab, Generalvorzeichen und Vorzeichenkorrekturen bringt Liszt hier mit blauem Stift an, die Chöre sind entsprechend der Sprach farblich differenziert, freihändig unter dem System notiert Liszt in roter Tinte weitere Liegetöne in der Orgel. Blatt 3v beinhaltet das ""Baryton Solo"" des Boleslaw, in beiden Sprachen und farblich differenziert und endet mit dem Hinweis in schwarzer Tinte: ""weiter Seite 4 | unter [?] 5B."" womit er auf die Weiterführung des Solos auf der Überklebung auf dem Druck S. 5 hinweist. In der Quelle folgt nun die erste Seite Notentext im Druck, mit dem entsprechenden Titel, aber vollständig mit blauem Stift gestrichen. Auf S. 4 und 5 folgt nun der Druck, wobei das erste System mit blauem Stift gestrichen ist und die Generalzeichen zu 5b ergänzt werden. Alle dadurch obsoleten Vorzeichen werden von Liszt mit schwarzer und roter Tinte sowie mit blauem Stift gestrichen. Auf S. 5 unten folgt nun die Fortsetzung des Bariton-Solos auf einer nach Unten hin das Format des Druckes erweiternden Überklebung (ca. 175 x 243 mm, 8 Notenzeilen, handrastriert, schief geschnitten). Anschließend greift Liszt auf den Druck (S. 6-8; Blatt 5v-6v) zurück, der kaum modifiziert wird (nur letzter Takt S. 7). Oben auf S. 8 notiert Liszt den Hinweis (mit einer eigenwilligen Mixtur aus roter und schwarzer Tinte sowie blauem Stift): ""Vide 3 Männer | Chor Stimmen"". Diese finden sich in der Quelle auf dem autographe Einzelblatt auf Blatt 7r, mit roter Tinte bezeichnet: ""MännerChor zur Seite 8 -"". Dieser besteht aus ""Tenor Imo | (2te Tenöre tacent | 2 Bässe"", wobei die Stimmbezeichnungen mit roter und schwarzer Stimme ebenso differenziert werden wie die anschließend folgenden zweisprachigen Vertonungen. Dieses Trio ist als Ergänzung zum Chorsatz gedacht. Dasselbe gilt für die vier Solisten (TTBB) auf der Verso-Seite, die bei Seite 9 hinzutreten sollen. Entsprechend ist dies mit roter Tinte im Druck auf S. 9 vermerkt (unterstes System). Allerdings gibt Liszt die farbliche Differenzierung der Sprachen bei diesem Quartett merkwürdigerweise auf, zudem weist Blatt 7v relativ viele Rasuren auf. Auf S. 10 im Druck (Blatt 8v) schreibt Liszt am Ende des zweiten Systems mit roter Tinte: ""+ 5 Takte mehr | (2 Bässe Soli)"" sowie wiest darauf hin, dass das cis in der Begleitung bleiben soll. Bei diesem Duo muss es sich um die letzten fünf Takte auf dem Einzelblatt (Blatt 7v) handeln, die zwei jeweils mit ""Solo"" bezeichnete Bassstimmen aufweisen. Anschließend weist das ""Orgel"" auf das im Druck im untersten System auf S. 10 (Blatt 8v) Zwischenspiel hin. Der Schluss auf S. 11 des Drucks (Blatt 9r) weist durch die Überklebung zwei unterschiedliche Übergänge auf. Liszt macht durch den Strich der letzten beiden Takte des Drucks sowie mit blauem Stift die Konzeption deutlich: ""Weiter, Chor | Salve | Polonia!"". Links daneben ist nun auf der Überklebung (140 x 245 mm, 7 Notenzeilen, handrastriert) die erste Fassung der Überleitung notiert, diese operiert hauptsächlich mit Tremoli im Klavier, über dem zaghaft im Chor vereinzelte ""Polonia""-Rufe einsetzen. Diese Version wurde jedoch mit rotem und blauem Stift gestrichen. Klappt man nun die Überklebung nach rechts um, so erscheint die alternative Fassung quasi in Reinschrift mit schwarzer Tinte mit einer Progression absteigender Akkorde, die zu dem Schlusschor hinführen. ",,"Titelei: Äußeres Titelblatt blaue Farbe mit schwarzen Lettern, inneres Titelblatt beiges Papier mit goldenen Lettern

Kopftitel: ad 1) Titel mit roter Tinte begonnen (für die längere EInleitung)
ad 2) über den Druck des Psalms geschrieben, Hinweis auf das Oratorium von Liszt mit schwarzer Tinte

Die Verschränkung von Druck und Maniskripten erklärt sich relativ leicht. Wäre ein schönes Beispiel für Liszts multimediale Verwendung von Notation",wird bestellt (100 Huf pro Scan),DTie,,,,,Franz Liszt,
,,R 534 | S 504a | A287,Via crucis,H-Bn ,Ms. mus. 14,,A. M. N. Múzeum Könyvtár,,,x,,,,,,,,,,,,,,,,,"schwarze und rote Tinte, blauer und roter Stift",,,,,,,,,,,,,,,"Gesamtes Konvolut komplett gebunden, mit zahlreichen Überklebungen",,"Quelle enthält wohl sämtliches Arbeitsmaterial zur Via crucis, nacheinander die Versionen für Soli, Chor und Klavierbegleitung (Blatt 1v-18v); Chorsätze (Blatt 19r-24v) sowie die Fassung für Klavier zu vier Händen (Blatt 25v-49r). Laut Eckhardt stellt die Quelle die zweite Arbeitsphase an der Via crucis vom Dezember 1878 dar, alle drei unterschiedlichen ""Fassungen"" wurden zu einem Konvolut zusammengebunden, obwohl sie eigentlich selbstständig zu sehen seien. Der erste Abschnitt kann auch als ""Klavierauszug"" angesehen werden, da nach der Introduktion alle Sätze eine Klavierbegleitung aufweisen. Die Komposition kann sowohl mit Chor und Begleitung als auch nur als Instrumental-Solo ausgeführt werden. Der zweite Abschnitt enthält nur Soli- und Chorstimmen ""Canto"" und ist ""Für den Regens Chori - | Engesser"" geschrieben. Eckhardt mutmaßt, dass dieser Part für eine spezifische Aufführung geschrieben sein konnte. Der dritte Teil ist rein instrumental (Kl 4hdg). Liszt scheint an allen drei Teilen simultan gearbeitet zu haben.",,"unglaublich komplexe Quelle, muss mit Noten untersucht werden, hier kann nur jeder Satz einzeln beschrieben werden",wird bestellt (100 Huf pro Scan),DTie,,,,,Franz Liszt,
,,R 2a/1 | S 137 | A39,"Vingt-quatre grande études, Nr. 1",H-Bn ,Ms. mus. 24,,A. M. N. Múzeum Könyvtár,Partitur,Stichvorlage,,,,,,Etudes - Preludes,,Kl,Presto,,,,,,,,,"schwarze Tinte, Bleistift",Dr (Bleistift),"1 Blatt (2 Seiten Notentext, paginiert)","Hochformat, 349 x 260 mm, 12 Notenzeilen, handrastriert",Papier weist am linken Rand ein Wasserzeichen auf (lesbar ganz rechts C IE). ,,,,,,,,,,,"Papier etwas zerknittert, aber sehr dick. Das Blatt scheint zweimal gefaltet aufbewahrt worden zu sein.",,"Reinschrift der ersten Etüde mit nur einer Streichung einer Sechzehntelfigur zu Beginn des dritten Systems auf der ersten Seite. Es handelt sich aber nicht um einen Fehler, sondern um ein Platzproblem, denn direkt danach notiert Liszt eine Ossia-Fassung fpr ein ""Piano | à | 7 8taves"". Der Notentext ist mit schwarzer Tinte geschrieben, die Paginierung stammt von Liszt und ist mit Bleistift gesetzt. Merkwürdig erscheinen viele gezackte und geschwundene Linien neben und unter dem Notentext, v.a. ganz unten auf Blatt 1v. Diese Zeichen haben keinerlei musikalische Bedeutung und wirken so, als habe sich Liszt die Zeit vertrieben. Zudem finden sich einige wenige Eintragungen des Druckers mit Bleistift, die auf die Einrichtung zum Stich hindeuten. Am Ende des Manuskripts finden sich noch zwei Eintragungen mit Tinte von fremder Hand: ""Originale von Franz Liszt"" sowie ""Die Aechtheit verbürgt Adolf Müller mp.""","Hier das erste Blatt eines größeren Zusammenhangs der 24 Grandes-Etudes - wo sind die anderen 23 Stücke?

Vielleicht haben die Kritzeleien / graphischen Symbole doch etwas zu bedeuten? zumindest die langgezogenen Rechtecke kehren in der Etude Nr. 7 (H-Bn Ms. mus. 5.035 wieder) ...","Kopftitel: ""Etudes -"" mit Bleistift, ""Preludes."" mit schwarzer Tinte geschrieben",wird bestellt (100 Huf pro Scan),DTie,,,,,Franz Liszt,
,,R 467b | S 132 | D16b,Romance oubliée,H-Bn ,Ms. mus. 25,,Orszszéchényi Könyvtár,Partitur,,,,,,,Vergessene Romanze (Romance oubliée),schwarze Tinte,"Vl, Kl","Andante, malinconico",,,,,,,,,"schwarze und rote Tinte, blauer und roter Stift",,"2 Blatt zu 1 Bogen (4 Seiten Notentext, foliiert)","Querformat, 239 x 316 mm, 8 Notenzeilen, handrastriert",,,,,,,,,,,,"Papier stark beschädigt und an den Kanten restauriert, der Bogen wird wohl nur hierdurch noch zusammengehalten. Die Quelle wurde doppelt gefaltet aufgewahrt",,"Recht sauberes Manuskript, mit einigen Rasuren, der Notentext in schwarzer Tinte geschrieben, die Foliierung ist am oberen Eck gedruckt, wobei direkt in der Mitte unter dem Titel eine ""2"" gedruckt ist. Liszt strich den letzten Takt auf Blatt 1r mit blauem Stift, um die Überleitung um vier Takte zu erweitern. Diese sind auf einer über das Blatt hinausgehende Anklebung notiert (74 x123/134 mm, schief zugeschnitten). Auf diesem Papier ergänzt Liszt Haltebögen und ein Auflösungszeichen mit roter Tinte. Auf Blatt 1v ist neben größeren Rasuren in der Violinstimme nur das lange crescendo mit roter Tinte hinzugesetzt. Auf Blatt 2r ergänzte Liszt das ""tranquillo"" über der 16tel-Figur der Violine mit blauem Stift sowie zwei Arpeggiati in T. 5 und 6 auf Blatt 2v. Hier sind zudem die Takte 1 bis 12 mit rotem Stift durchnummeriert, welche im zweiten System ab T. 4 wiederholt werden (Hinweis von Liszt mit schwarzer Tinte, ""12 Takte Bis""). Das Manuskript ist am Schluss signiert, weist aber keine Datierung auf.",,"Kopftitel: darunter von fremder Hand ""Szentirmay Elemér tulajdona) | Liszt kézirata"" (Transkription M. Eckhardt)",wird bestellt (100 Huf pro Scan),DTie,,,,Franz Liszt,Franz Liszt,
,,(R 415 | S 98 | G9) S 167d,[Orpheus],H-Bn ,Ms. mus. 264,1900 év 21 sz.,M. N. Múzeum Könyvtára Kézirait Növedéknapló,Partitur,Albumblatt ,,,,,,,,Kl,Andante,,,,,,,,,schwarze Tinte,,"2 Blatt zu 1 Bogen (3 Seiten Notentext, 1 Leerseite, foliiert)","Querformat, 254 x 337, mm, 9 Notenzeilen, handrastriert",,,,,"1900-xx-xx, Cohen 1900, Los 387",,,,,,,,"Wohl aus einem ""Poesiealbum"", auf Blatt 1v/2r findet sich eine autographe Niederschrift von Glinka, Liszt auf Blatt 2v","Es handelt sich hierbei voraussichtlich um einen Ausschnitt aus einem ""Poesiealbum"", denn noch vor Liszts Autograph findet sich auf Blatt 1v/2r ein Autograph von Michail Glinka, ""1re ouverture Espagnole (Jota Araginesa) | S. P.bourg le 22 avril 1832"", es folgt die Signatur. Das ist insofern interessant, da es von Liszt ja auch eine Rhapsodie espagnole mit selbem Thema gibt.
Liszt notiert hier eine für Klavier reduzierte Fassung des Beginns des Orpheus (wobei die Harfenarpeggien mit ausgehaltenen Harmonien substituiert werden). Insgesamt sind es 16 Takte, die anschließend mit einem etc. und Doppelstrich nach der authentischen Kadenz nach G-Dur abbrechen. Darunter folgt die Signatur von Liszt (ohne Datum oder Adressat).","Von der Machart ist der Bogen wie H-Bn Ms. mus. 25, also mit gedruckter Foliierung und einer ""2"" oben in der Mitte des ersten Blattes, aber anderes Format",Dank an Frau Eckhardt für die Identifizierung,"wird bestellt (100 Huf pro Scan) [nur letztes Blatt, oder?]",DTie,,,,,Franz Liszt,
,,(R 3a / 4),"[Etudes d'exécution transcendante d'après Paganini, Nr. 4, 2nd version]",H-Bn ,Ms. mus. 264,,A. M. N. Múzeum Könyvtár,Partitur,Albumblatt,,,,,,,,Kl,,,,,,,,,,schwarze Tinte,,1 Blatt (1 Seite Notentext),"Querformat, 77 x 126 mm, 2 Notenzeilen, handrastriert",,,,,,,,,,,,"gelber Rahmen mit Fenster (246 x 313 mm), Ausschnitt ist in einem verstärkten Karton mit Blickfenster eingebunden/eingeklebt",,"Zweitaktiges Albumblatt, das aus der 4. Paganini-Etüde (2. Fassung) entstammt und die blitzschnelle Abfolge von in 32tels repetierten Akkorden nebst Übergriffen exerziert (Harmonien E-Dur - H-Dur - E-Dur). Die Passage referenziert gewissermaßen an die Etüde, ohne deren Akkord-Repetitionen vom Schluss dezidiert zu zitieren. Zu Beginn der Notation von Liszt signiert.",,,wird bestellt (100 Huf pro Scan),DTie,,,,,Franz Liszt,
,,R 421 | S 104 | G22,Hamlet,H-Bn ,Ms. mus. 5.600,V 549-72/2/1973,Orszszéchényi Könyvtár,Partitur,Korrekturblatt,,,,,,,,"Orch (A: 2 Klar, Str; B: 2 Pos, Pk; C: Str; D: 2 Kl, 2 Ob, 2 Klar, 2 Fg, 4 Hr, 2 Trp, 2 Pos, Pk, Str)",,,,,,,,,,"schwarze Tinte, blauer Stift",,1 Blatt (2 Seiten Notentext),"Hochformat, 344 x 270 mm, 30 Notenzeilen, handrastriert",,,,,,,,,,,,"das Einzelblatt wurde falsch herum eingebunden (beginnt mit C und D, dann kommen A und B)",,"Korrekturbogen zum Hamlet mit vier Korrekturen, die mit blauem Stift von A bis D gekennzeichnet sind (ebenso die Abschnittsbuchstaben in der Partitur). Auf der Innenseite des Einbands sind mit Bleistift die einzufügenden Takte gekennzeichnet, wahrscheinlich von Maria Eckhardt, die die Zahlen auch bei sich aufführt: A: T. 176-194; B: T. 226-290; C: T. 299-305; D: T. 317-338. Die ersten beiden Korrekturen sind von Liszt mit Tinte erklärt: A. ""Änderungen in dem Quartett und Clarinetten Seite 22-23; B: ""Posaunen und Pauken treten hinzu - Änderungen auch im Fagott und Horn"" [nicht notiert?]. Bei C weist Liszt auf den Anschluss hin, ""zurück Seite 30"", bei D scheint die Angabe des Buchstaben ""Q"" unter dem System für die Lokalisierung zu genügen.",Die Positionierung der Korrekturen sollte sicherhaltshalber noch einmal mit dem Digitalisat an der Partitur überprüft werden,,wird bestellt (100 Huf pro Scan),DTie,,,,,Franz Liszt,
