,Absender Person,Absender Person Edition,GND Absender Person,Absender Körperschaft,Absender Körperschaft Edition,GND Absender Körperschaft,Adressat Person,Adressat Person Edition,GND Adressat Person,Adressat Körperschaft,Adressat Körperschaft Edition,GND Adressat Körperschaft,Absendeort,Absendeort Edition,Absendeort_GND,Empfangsort,Empfangsort Edition,Empfangsort_GND,Datierung,Datierung ermittelt,Datierung Kommentar [intern],Incipit [nur in schwierig datierbaren Fällen],Standort,Signatur,Digitalisat,Datierung (standardisiert),Datierung maschinenlesbar Teil 1,Datierung maschinenlesbar Teil 2,Datierung Checkbox,Sigle / Kurztitel,Weitere Editionen,zu überarbeiten,Kommentar (intern),Bemerkungen,Besitzer (nach Edition),Datierung (nach Edition),Werkerwähnung (I),Entstehung (I),Quellentransfer (I),Aufführungen (I),Seite (I),WVZ (Raabe) (I),Werktitel (I),Kommentar (intern) (I),Erwähnung auf Werk- oder Quellenebene (I),Werkerwähnung (II),Entstehung (II),Quellentransfer (II),Aufführungen (II),Seite (II),WVZ (Raabe) (II),Werktitel (II),Kommentar (intern) (II),Erwähnung auf Werk- oder Quellenebene (II),Werkerwähnung (III),Entstehung (III),Quellentransfer (III),Aufführungen (III),Seite (III),WVZ (Raabe) (III),Werktitel (III),Kommentar (intern) (III),Erwähnung auf Werk- oder Quellenebene (III),Werkerwähnung (IV),Entstehung (IV),Quellentransfer (IV),Aufführungen (IV),Seite (IV),WVZ (Raabe) (IV),Werktitel (IV),Kommentar (intern) (IV),Erwähnung auf Werk- oder Quellenebene (IV),Werkerwähnung (V),Entstehung (V),Quellentransfer (V),Aufführungen (V),Seite (V),WVZ (Raabe) (V),Werktitel (V),Kommentar (intern) (V),Erwähnung auf Werk- oder Quellenebene (V),Werkerwähnung (VI),Entstehung (VI),Quellentransfer (VI),Aufführungen (VI),Seite (VI),WVZ (Raabe) (VI),Werktitel (VI),Kommentar (intern) (VI),Erwähnung auf Werk- oder Quellenebene (VI),Werkerwähnung (VII),Entstehung (VII),Quellentransfer (VII),Aufführungen (VII),Seite (VII),WVZ (Raabe) (VII),Werktitel (VII),Kommentar (intern) (VII),Erwähnung auf Werk- oder Quellenebene (VII),Werkerwähnung (VIII),Entstehung (VIII),Quellentransfer (VIII),Aufführungen (VIII),Seite (VIII),WVZ (Raabe) (VIII),Werktitel (VIII),Kommentar (intern) (VIII),Erwähnung auf Werk- oder Quellenebene (VIII),Werkerwähnung (IX),Entstehung (IX),Quellentransfer (IX),Aufführungen (IX),Seite (IX),WVZ (Raabe) (IX),Werktitel (IX),Kommentar (intern) (IX),Erwähnung auf Werk- oder Quellenebene (IX),Werkerwähnung (X),Entstehung (X),Quellentransfer (X),Aufführungen (X),Seite (X),WVZ (Raabe) (X),Werktitel (X),Kommentar (intern) (X),Erwähnung auf Werk- oder Quellenebene (X),Werkerwähnung (XI),Entstehung (XI),Quellentransfer (XI),Aufführungen (XI),Seite (XI),WVZ (Raabe) (XI),Werktitel (XI),Kommentar (intern) (XI),Erwähnung auf Werk- oder Quellenebene (XI)
876,"Liszt, Franz","Liszt, Franz",118573527,,,,"Brendel, Franz","Brendel, Franz",119020742,,,,Rom,Rom,4050471-2,,,,28.05.1864,,,,,,,28.05.1864,28.05.1864,28.05.1864,nach Edition,"La Mara 1893b, S. 65-66",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
877,"Liszt, Franz","Liszt, Franz",118573527,,,,"Brendel, Franz","Brendel, Franz",119020742,,,,Rom,Rom,4050471-2,,,,13.06.1864,,,,,,,13.06.1864,13.06.1864,13.06.1864,nach Edition,"La Mara 1893b, S. 67-68",,,,,,,2te Graner Messe,x,,,68,,2te Graner Messe,"Gerücht. ""voraussichtliche Bestellung und Composition einer 2ten Graner Messe"".",W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
878,"Liszt, Franz","Liszt, Franz",118573527,,,,"[Street-Klindworth, Agnes]","[Street-Klindworth, Agnes]",117346667,,,,,,,,,,17.06.1864,,,,,,,17.06.1864,17.06.1864,17.06.1864,nach Edition,"La Mara 1894, S. 170-173",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
879,"Liszt, Franz","Liszt, Franz",118573527,,,,,,,Comité des Unterstützungsvereins für bedürftige ungarische Musiker in Pest,Comité des Unterstützungsvereins für bedürftige ungarische Musiker in Pest,RD,Rom,Rom,4050471-2,Pest,Pest,4137172-0,18.06.1864,,,,,,,18.06.1864,18.06.1864,18.06.1864,nach Edition,"La Mara 1893b, S. 68-69",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
880,"Liszt, Franz","Liszt, Franz",118573527,,,,"Liszt, Eduard","Liszt, Eduard",136768148,,,,[Rome],[Rome],4050471-2,,,,22.06.1864,,,,,,,22.06.1864,22.06.1864,22.06.1864,nach Edition,"La Mara 1893b, S. 69-71",,,,,,,Messe,x,,,70,,Messe,"Berichtet von einem möglichen Kompositionsauftrag, ""si tant est qu'on y soit disposé (comme il paraîtrait) à me faire une commande  analogue à celle de la ""Graner Messe"".""",W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
881,"Liszt, Franz","Liszt, Franz",118573527,,,,"Brendel, Franz","Brendel, Franz",119020742,,,,[Rom],[Rom],4050471-2,,,,01.07.1864,,,,,,,01.07.1864,01.07.1864,01.07.1864,nach Edition,"La Mara 1893b, S. 71-72",,,,Ort selbst ermittelt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
882,"Liszt, Franz","Liszt, Franz",118573527,,,,"Bache, Walter","Bache, Walter",116225203,,,,[Rom],[Rom],4050471-2,London,London,4074335-4,02.07.1864,,,,,,,02.07.1864,02.07.1864,02.07.1864,nach Edition,"La Mara 1893b, S. 72-73",,,,Madonna del Rosario,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
883,"Liszt, Franz","Liszt, Franz",118573527,,,,"Sayn-Wittgenstein, Caroline","Sayn-Wittgenstein, Caroline",119369168,,,,[Rom],[Rom],4050471-2,,,,10.07.1864,,,,,,,10.07.1864,10.07.1864,10.07.1864,nach Edition,"La Mara 1902a, S. 24",,,,"Villa d'Este, Tivoli",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
884,"Liszt, Franz","Liszt, Franz",118573527,,,,"Sayn-Wittgenstein, Caroline","Sayn-Wittgenstein, Caroline",119369168,,,,[Rom],[Rom],4050471-2,,,,14.07.1864,,,,,,,14.07.1864,14.07.1864,14.07.1864,nach Edition,"La Mara 1902a, S. 24-26",,,,"Villa d'Este, Tivoli",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
885,"Liszt, Franz","Liszt, Franz",118573527,,,,"[Street-Klindworth, Agnes]","[Street-Klindworth, Agnes]",117346667,,,,Rom,Rom,4050471-2,,,,16.07.1864,,,,,,,16.07.1864,16.07.1864,16.07.1864,nach Edition,"La Mara 1894, S. 173-175",,,,"Monte Mario, Madonna del Rosario",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
886,"Liszt, Franz","Liszt, Franz",118573527,,,,"Sayn-Wittgenstein, Caroline","Sayn-Wittgenstein, Caroline",119369168,,,,[Castel Gandolfo],[Castel Gandolfo],4113206-3,,,,31.07.1864,,,,,,,31.07.1864,31.07.1864,31.07.1864,nach Edition,"La Mara 1902a, S. 26-27",,,,Hôtel de Rome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
887,"Liszt, Franz","Liszt, Franz",118573527,,,,,,,,,,Rom,Rom,4050471-2,,,,07.08.1864,,,,,,,07.08.1864,07.08.1864,07.08.1864,nach Edition,"La Mara 1893b, S. 73-74",,x,Empfänger fehlt,Empfänger???,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
888,"Liszt, Franz","Liszt, Franz",118573527,,,,"Sayn-Wittgenstein, Caroline","Sayn-Wittgenstein, Caroline",119369168,,,,Marseille,Marseille,4037694-1,,,,12.08.1864,,,,,,,12.08.1864,12.08.1864,12.08.1864,nach Edition,"La Mara 1902a, S. 27-31",,,,Grand Hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
889,"Liszt, Franz","Liszt, Franz",118573527,,,,"Sayn-Wittgenstein, Caroline","Sayn-Wittgenstein, Caroline",119369168,,,,Karlsruhe,Karlsruhe,4029713-5,,,,21.08.1864,,,,,,,21.08.1864,21.08.1864,21.08.1864,nach Edition,"La Mara 1902a, s. 34-36",,,,Erbprinz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
890,"Liszt, Franz","Liszt, Franz",118573527,,,,"Liszt, Eduard","Liszt, Eduard",136768148,,,,Weimar,Weimar,4065105-8,,,,07.09.1864,,,,,,,07.09.1864,07.09.1864,07.09.1864,nach Edition,"La Mara 1893b, S. 74-76",,,,,,,3 meiner Lieder,,,x,75,"R 590 | R 617 | R 592 [a, b, c?]",Es muß ein Wunderbares sein | Ich liebe dich | Mignons Lied,"Berichtet, dass die drei Lieder im Zuge des Tonkünstler-Versammlung 1864 in Karlsruhe aufgeführt wurden.",W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
891,"Liszt, Franz","Liszt, Franz",118573527,,,,,,,Breitkopf & Härtel,Breitkopf & Härtel,64766-4,Schloss Löwenberg,Schloss Löwenberg,4104512-9,[Leipzig],[Leipzig],4035206-7,14.09.1864,,,,,,,14.09.1864,14.09.1864,14.09.1864,nach Edition,"La Mara 1893b, S. 76-77",,,,"Constantin von Hohenzolllern-Hechingen (s. 40) lebte nach 1850 in der schlesischen Stadt Löwenberg (heute Lwówek Śląski) auf dem Schloss Hohlstein, möglicherweise ist dieses gemeint, Sendeort selbst ermittelt, Brief an Musikverlag aus Leipzig",,,Correcturen [Beethoven-Symphonien],x,x,,76,R 128,Symphonies de Beethoven. Partitions de Piano,"Liszt sendet die Korrekturen der V. und VI. Symphonie zurück, ""worin ich kaum ein paar Fehler vorgefunden"".",W | Q,9te Sinfonie,x,,,76,R 128/9,Symphonies de Beethoven. Partitions de Piano. Nr. 9,"Betont die ""Unmöglichkeit eines nur gewissermassen befriedigenden und wirksamen Arrangements des 4ten Satzes für 2 Hände"". Will keinen Klavierauszug erstellen und verweist auf vorhandene Literatur.",W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
892,"Liszt, Franz","Liszt, Franz",118573527,,,,"Sayn-Wittgenstein, Caroline","Sayn-Wittgenstein, Caroline",119369168,,,,Wilhelmsthal,Wilhelmsthal,4350206-4,,,,29.09.1864,,,,,,,29.09.1864,29.09.1864,29.09.1864,nach Edition,"La Mara 1902a, S. 55-59",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
893,"Liszt, Franz","Liszt, Franz",118573527,,,,,,,Breitkopf & Härtel,Breitkopf & Härtel,64766-4,Wilhelmsthal,Wilhelmsthal,4350206-4,[Leipzig],[Leipzig],4035206-7,01.10.1864,,,,,,,01.10.1864,01.10.1864,01.10.1864,nach Edition,"La Mara 1893b, S. 77-78",,,,"Sendeort selbst ermittelt, Brief an Musikverlag aus Leipzig",,,4ter Satz der 9ten Sinfonie,x,,,77,R 128/9,Symphonies de Beethoven. Partitions de Piano. Nr. 9,"""Ihrem so freundlich ausgesprochenen Wunsch zufolge, will ich es nochmals versuchen, dem 4ten Satz der 9ten Sinfonie am Clavier ""beizukommen"" [...].""",W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
894,"Liszt, Franz","Liszt, Franz",118573527,,,,"von Bülow, Hans","von Bülow, Hans",118664638,,,,Paris,Paris,4044660-8,,,,06.10.1864,,,,,,,06.10.1864,06.10.1864,06.10.1864,nach Edition,"La Mara 1898, S. 318-320",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
895,"Liszt, Franz","Liszt, Franz",118573527,,,,"Sayn-Wittgenstein, Caroline","Sayn-Wittgenstein, Caroline",119369168,,,,[Paris],[Paris],4044660-8,,,,08.10.1864,,,,,,,08.10.1864,08.10.1864,08.10.1864,nach Edition,"La Mara 1902a, S. 61-62",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
896,"Liszt, Franz","Liszt, Franz",118573527,,,,"Sayn-Wittgenstein, Caroline","Sayn-Wittgenstein, Caroline",119369168,,,,[Paris],[Paris],4044660-8,,,,12.10.1864,,,,,,,12.10.1864,12.10.1864,12.10.1864,nach Edition,"La Mara 1902a, S. 62-63",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
897,"Liszt, Franz","Liszt, Franz",118573527,,,,"[von Bülow, Hans]","[von Bülow, Hans]",118664638,,,,[Rom],[Rom],4050471-2,,,,21.10.1864,,,,,,,21.10.1864,21.10.1864,21.10.1864,nach Edition,"La Mara 1898, S. 320-321",,,,"Adresse: Madonna del Rosario, Ort in Rom",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
898,"Liszt, Franz","Liszt, Franz",118573527,,,,"Sayn-Wittgenstein, Caroline","Sayn-Wittgenstein, Caroline",119369168,,,,[Rom],[Rom],4050471-2,,,,23.10.1864,,,,,,,23.10.1864,23.10.1864,23.10.1864,nach Edition,"La Mara 1902a, S. 63",,,,Madonna del Rosario,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
899,"Liszt, Franz","Liszt, Franz",118573527,,,,"[Street-Klindworth, Agnes]","[Street-Klindworth, Agnes]",117346667,,,,Rom,Rom,4050471-2,,,,25.10.1864,,,,,,,25.10.1864,25.10.1864,25.10.1864,nach Edition,"La Mara 1894, S. 175",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
900,"Liszt, Franz","Liszt, Franz",118573527,,,,"[von Bülow, Hans]","[von Bülow, Hans]",118664638,,,,Rom,Rom,4050471-2,,,,12.11.1864,,,,,,,12.11.1864,12.11.1864,12.11.1864,nach Edition,"La Mara 1898, S. 321-324",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
901,"Liszt, Franz","Liszt, Franz",118573527,,,,"[Street-Klindworth, Agnes]","[Street-Klindworth, Agnes]",117346667,,,,,,,,,,18.11.1864,,,,,,,18.11.1864,18.11.1864,18.11.1864,nach Edition,"La Mara 1894, S. 176-177",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
902,"Liszt, Franz","Liszt, Franz",118573527,,,,"[von Bülow, Hans]","[von Bülow, Hans]",118664638,,,,[Rom],[Rom],4050471-2,,,,26.11.1864,,,,,,,26.11.1864,26.11.1864,26.11.1864,nach Edition,"La Mara 1898, S. 324-326",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
903,"Liszt, Franz","Liszt, Franz",118573527,,,,"[von Bülow, Hans]","[von Bülow, Hans]",118664638,,,,[Rom],[Rom],4050471-2,,,,09.12.1864,,,,,,,09.12.1864,09.12.1864,09.12.1864,nach Edition,"La Mara 1898, S. 326-328",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
904,"Liszt, Franz","Liszt, Franz",118573527,,,,"Street-Klindworth, Agnes","Street-Klindworth, Agnes",117346667,,,,"[Monte Mario, Madonna del Rosario]","[Monte Mario, Madonna del Rosario]",4050471-2,,,,26.01.1865,,,,,,,26.01.1865,26.01.1865,26.01.1865,nach Edition,Pocknell 2000c,"La Mara 1894, S. 177-179",,,,D-DS II:43,"January 26, [18]65","Mass (a capella - unaccompanied) | Gregorian chant, in four-part harmony",x,,,237,R 486 | ?,Missa choralis (Organo concinente,Berichtet über seine aktuellen Arbeiten. Neben besagter Messe arbeitet er an einer Revision gregorianischer Gesänge für das ganze Kirchenjahr.,Q,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
905,"Liszt, Franz","Liszt, Franz",118573527,,,,"[Street-Klindworth, Agnes]","[Street-Klindworth, Agnes]",117346667,,,,,,,,,,14.02.1865,,,,,,,14.02.1865,14.02.1865,14.02.1865,nach Edition,"La Mara 1894, S. 179-180",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
906,"Liszt, Franz","Liszt, Franz",118573527,,,,"Laussot, Jessie","Laussot, Jessie",116811838,,,,Rom,Rom,4050471-2,,,,06.03.1865,,,,,,,06.03.1865,06.03.1865,06.03.1865,nach Edition,"La Mara 1893b, S. 78-79",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
907,"Liszt, Franz","Liszt, Franz",118573527,,,,"Brendel, Franz","Brendel, Franz",119020742,,,,[Rom],[Rom],4050471-2,,,,03.04.1865,,,,,,,03.04.1865,03.04.1865,03.04.1865,nach Edition,"La Mara 1893b, S. 79-80",,,,Ort selbst ermittelt,,,Cantique | Charité von Rossini,,,x,80,R 14/10 | R 238,Cantique d'amour | Deux Transcriptions d'après Rossini. Nr. 2 La Charité,"Spielte beide Stücke im Rahmen eines Konzerts im ""Capitolsaal"" für den Papst.",W,Arrangements der Beethoven'schen Sinfonien,x,,,80,R 128,Symphonies de Beethoven. Partitions de Piano,"Lässt fragen, wie weit der Sich gelang ist.",W,Dante-Sinfonie,,,x,80,R 426,Eine Symphonie zu Dantes Divina Commedia,"Es sei möglich, dass die ""Dante-Sinfonie Ende April hier zur Aufführung kommt."" Bittet um Orchesterstimmen, auch von Symphonischen Dichtungen.",W,Papst-Hymnus,x,,,80,R 190,Der Papsthymnus (L'hymne du pape),"Publikation. ""Bei Bote und Bock erscheint nächstens (für Pianoforte) ein sehr einfacher Hymnus von mir, betitelt ""Papst-Hymnus"".""",W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
908,"Liszt, Franz","Liszt, Franz",118573527,,,,"Sayn-Wittgenstein, Caroline","Sayn-Wittgenstein, Caroline",119369168,,,,[Rom],[Rom],4050471-2,,,,22.04.1865,,,,,,,22.04.1865,22.04.1865,22.04.1865,nach Edition,"La Mara 1902a, S. 67-68",,,,"Rom, bei den Lazaristen",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
909,"Liszt, Franz","Liszt, Franz",118573527,,,,"Sayn-Wittgenstein, Caroline","Sayn-Wittgenstein, Caroline",119369168,,,,[Rom],[Rom],4050471-2,,,,22.04.1865,,,,,,,22.04.1865,22.04.1865,22.04.1865,nach Edition,"La Mara 1902a, S. 68-69",,,,"Ort selbst ergänzt, vorheriger Brief am selben Tag",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
910,"Liszt, Franz","Liszt, Franz",118573527,,,,"Sayn-Wittgenstein, Caroline","Sayn-Wittgenstein, Caroline",119369168,,,,[Rom],[Rom],4050471-2,,,,25.04.1865,,,,,,,25.04.1865,25.04.1865,25.04.1865,nach Edition,"La Mara 1902a, S. 70-71",,,,"Ort im brief: St. Marc, vielleicht San Marco in Rom?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
911,"Liszt, Franz","Liszt, Franz",118573527,,,,"[von Bülow, Hans]","[von Bülow, Hans]",118664638,,,,,,,,,,28.04.1865,,,,,,,28.04.1865,28.04.1865,28.04.1865,nach Edition,"La Mara 1898, S. 328-332",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
912,"Liszt, Franz","Liszt, Franz",118573527,,,,"Street-Klindworth, Agnes","Street-Klindworth, Agnes",117346667,,,,Vatican,Vatican,4062404-3,,,,01.05.1865,,,,,,,01.05.1865,01.05.1865,01.05.1865,nach Edition,Pocknell 2000c,"La Mara 1894, S. 180f.",,,,D-DS II:45,"May 1, [18]65",Christus oratorio,x,,,239,R 478,Christus,Möchte in acht Tagen die Arbeit an dem Oratorium wieder aufnehmen.,W,Legend of Saint Elisabeth,,,x,240,R 477,Die Legende von der heiligen Elisabeth,"Fährt im Juli nach Pest, wo die Komposition aufgeführt wird.",W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
913,"Liszt, Franz","Liszt, Franz",118573527,,,,"Sachsen-Weimar-Eisenach, Carl Alexander von ","Sachsen-Weimar-Eisenach, Carl Alexander von ",119418134,,,,Rom (Vatikan),Rom (Vatikan),4062404-3,,,,03.05.1865,,,,,,,03.05.1865,03.05.1865,03.05.1865,nach Edition,La Mara 1909a,,,,,,, l'oratorio intitulé Jésus Christ,x,,,130,R 478,Christus,Erwähnung der Arbeit an der Komposition,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
914,"Liszt, Anna","Liszt, Anna",123449324,,,,"Liszt, Franz","Liszt, Franz",118573527,,,,Paris,Paris,4044660-8,,,,04.05.1865,,,,,,,04.05.1865,04.05.1865,04.05.1865,nach Edition,"La Mara 1902a, S. 78",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
915,"Liszt, Franz","Liszt, Franz",118573527,,,,"Hohenzollern-Hechingen, Konstantin von","Hohenzollern-Hechingen, Konstantin von",116957212,,,,Vatikan,Vatikan,4062404-3,,,,11.05.1865,,,,,,,11.05.1865,11.05.1865,11.05.1865,nach Edition,"La Mara 1893b, S. 80-82",,,,,,,Sainte Elisabeth | Symphonie de la Divina Commedia,,,x,81f,R 477 | R 426,Die Legende von der heiligen Elisabeth | Eine Symphonie zu Dantes Divina Commedia,"Erwähnt eine Aufführung der beiden Werke bei der ""célébration des fêtes musicales qu'on prépare pour le 25me anniversaire de la fondation du Conservatoire.""",W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
916,"Liszt, Franz","Liszt, Franz",118573527,,,,"[Street-Klindworth, Agnes]","[Street-Klindworth, Agnes]",117346667,,,,,,,,,,19.05.1865,,,,,,,19.05.1865,19.05.1865,19.05.1865,nach Edition,"La Mara 1894, S. 181-183",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
917,"Liszt, Franz","Liszt, Franz",118573527,,,,,,,,,,[Rom],[Rom],4050471-2,,,,20.05.1865,,,,,,,20.05.1865,20.05.1865,20.05.1865,nach Edition,"La Mara 1905, S. 170-171",,x,Empfänger fehlt,"Ohne Adressat, Fußnote: ""Autograph im Weimarer Liszt-Museum""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
